"","X","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus","p.adjust.manual","log10.p.adjust","p.adjust.manual.perm2","not_found_in_perm2","Motiff_bound","Pathogen","Taxon.mnemonic","Organism","Family_Viral_Zone"
"11","hsa0308312","hsa03083","Polycomb repressive complex","13/566","84/8661",0.00295255130489157,0.0496723337175875,0.0449738465017539,"121536/84108/64319/55252/80816/3054/22992/221937/114785/84678/57666/8535/1912",13,"UP000008167",0.0496723337175875,1.30388543539714,NA,"Not Found",NA,"Human adenovirus C serotype 2","ADE02","Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)","Adenoviridae"
"12","hsa0304021","hsa03040","Spliceosome","13/44","217/8661",2.80206950155845e-11,2.12957282118442e-09,2.09417825905947e-09,"6429/6434/10772/6431/10523/29896/6426/8683/22985/6430/6427/6432/6428",13,"UP000001650",2.12957282118442e-09,8.67170750454641,NA,"Not Found",NA,"Human astrovirus-1","HASV1","Human astrovirus-1 (HAstV-1)","Astroviridae"
"13","hsa0305021","hsa03050","Proteasome","3/26","46/8661",0.000334681433349311,0.0251100522024195,0.0228678180909084,"5702/5705/5706",3,"UP000007767",0.0251100522024195,1.60015238441176,NA,"Not Found",NA,"Lordsdale virus","LORDV","Lordsdale virus (strain GII/Human/United Kingdom/Lordsdale/1993) (Human enteric calicivirus) (Hu/NV/LD/1993/UK)","Caliciviridae"
"14","hsa0501740","hsa05017","Spinocerebellar ataxia","4/26","143/8661",0.000803001098813386,0.0251100522024195,0.0228678180909084,"2892/5702/5705/5706",4,"UP000007767",0.0251100522024195,1.60015238441176,NA,"Not Found",TRUE,"Lordsdale virus","LORDV","Lordsdale virus (strain GII/Human/United Kingdom/Lordsdale/1993) (Human enteric calicivirus) (Hu/NV/LD/1993/UK)","Caliciviridae"
"15","hsa0031039","hsa00310","Lysine degradation","3/26","63/8661",0.000846406254014141,0.0251100522024195,0.0228678180909084,"4297/58508/55870",3,"UP000007767",0.0251100522024195,1.60015238441176,NA,"Not Found",TRUE,"Lordsdale virus","LORDV","Lordsdale virus (strain GII/Human/United Kingdom/Lordsdale/1993) (Human enteric calicivirus) (Hu/NV/LD/1993/UK)","Caliciviridae"
"16","hsa0305030","hsa03050","Proteasome","5/24","46/8661",1.33229823394094e-07,7.32764028667518e-06,5.46943485512597e-06,"5700/5704/5702/5705/5706",5,"UP000000667",7.32764028667518e-06,5.13503585830124,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"17","hsa0501754","hsa05017","Spinocerebellar ataxia","6/24","143/8661",1.92143898377117e-06,5.28395720537071e-05,3.94400633510924e-05,"10939/5700/5704/5702/5705/5706",6,"UP000000667",5.28395720537071e-05,4.27704070838276,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"18","hsa0516951","hsa05169","Epstein-Barr virus infection","5/24","202/8661",0.000194472411115554,0.00356532753711848,0.00266120141526547,"5700/5704/5702/5705/5706",5,"UP000000667",0.00356532753711848,2.44790056650524,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"19","hsa0501482","hsa05014","Amyotrophic lateral sclerosis","6/24","364/8661",0.00037368573136226,0.00513817880623107,0.00383519566398109,"7415/5700/5704/5702/5705/5706",6,"UP000000667",0.00513817880623107,2.28919078656086,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"20","hsa0502282","hsa05022","Pathways of neurodegeneration - multiple diseases","6/24","476/8661",0.00153751200547877,0.0105703950376665,0.00788986423864106,"7415/5700/5704/5702/5705/5706",6,"UP000000667",0.0105703950376665,1.97590878190044,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"21","hsa0501075","hsa05010","Alzheimer disease","5/24","384/8661",0.0035285201400799,0.0215631786338216,0.0160950041477329,"5700/5704/5702/5705/5706",5,"UP000000667",0.0215631786338216,1.66628721930272,NA,"Not Found",NA,"Sapovirus aka Sapporo virus","SVC12","Sapovirus (strain GII/Human/Japan/Sakai C12/2001) (SaV) (Sapporo virus)","Caliciviridae"
"22","hsa0304022","hsa03040","Spliceosome","9/63","217/8661",2.40895872157274e-05,0.00375797560565347,0.00375797560565347,"6432/10523/10772/6429/6428/6431/6426/6430/6427",9,"UP000006716",0.00375797560565347,2.42504604338517,NA,"Not Found",NA,"Human coronavirus 229E (HCoV-229E)","CVH22","Human coronavirus 229E (HCoV-229E)","Coronaviridae"
"23","hsa0304035","hsa03040","Spliceosome","11/110","217/8661",9.17574695386784e-05,0.0120202285095669,0.0120202285095669,"6428/6429/6434/6432/10772/6431/6430/6426/6427/10523/22985",11,"UP000000354",0.0120202285095669,1.92008727613522,NA,"Not Found",NA,"Severe acute respiratory syndrome coronavirus (SARS-CoV)","SARS","Severe acute respiratory syndrome coronavirus (SARS-CoV)","Coronaviridae"
"24","hsa0304047","hsa03040","Spliceosome","11/103","217/8661",5.00409757914622e-05,0.00650532685289008,0.00650532685289008,"6428/6429/6434/6432/10772/6431/6430/6426/6427/10523/22985",11,"UP000147828",0.00650532685289008,2.18673087791248,NA,"Not Found",NA,"SARS coronavirus PUMC03","UP000147828","SARS coronavirus PUMC03","Coronaviridae"
"25","hsa0304057","hsa03040","Spliceosome","12/117","217/8661",3.41540072812481e-05,0.00580618123781217,0.00568035068467073,"6430/6431/22985/10523/10929/6429/6434/6432/10772/6426/6428/6427",12,"UP000464024",0.00580618123781217,2.23610941195022,NA,"Not Found",NA,"SARS coronavirus 2","SARS2","Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)","Coronaviridae"
"26","hsa0451212","hsa04512","ECM-receptor interaction","5/55","89/8661",0.000237515873822187,0.0258892302466184,0.0247516542193648,"1277/2811/3911/3678/2812",5,"UP000000518",0.0258892302466184,1.58688086206477,NA,"Not Found",TRUE,"Hepatitis C virus genotype 1a","HCV77","Hepatitis C virus genotype 1a (isolate H77) (HCV)","Flaviviridae"
"27","hsa0124021","hsa01240","Biosynthesis of cofactors","9/29","153/8661",9.80406791593276e-10,5.71903961762744e-09,4.98803455372018e-09,"54578/54659/54579/54576/54657/54577/54575/54600/54658",9,"UP000007214",5.71903961762744e-09,8.2426768949453,NA,"Not Found",NA,"Japanese encephalitis virus","JAEVJ","Japanese encephalitis virus (strain Jaoars982) (JEV)","Flaviviridae"
"28","hsa0431074","hsa04310","Wnt signaling pathway","6/30","174/8661",2.39925046732082e-05,0.00100768519627474,0.000959700186928328,"6422/7088/7090/7091/7089/4040",6,"UP000054557",0.00100768519627474,2.99667512153535,NA,"Not Found",NA,"Zika virus","ZIKV","Zika virus (ZIKV)","Flaviviridae"
"29","hsa0433059","hsa04330","Notch signaling pathway","4/30","62/8661",5.67543394567124e-05,0.00119184112859096,0.00113508678913425,"7088/7090/7091/7089",4,"UP000054557",0.00119184112859096,2.92378163182287,NA,"Not Found",NA,"Zika virus","ZIKV","Zika virus (ZIKV)","Flaviviridae"
"30","hsa0308357","hsa03083","Polycomb repressive complex","3/30","84/8661",0.00295796794765645,0.0414115512671903,0.0394395726354193,"57713/54880/1876",3,"UP000054557",0.0414115512671903,1.38287850062145,NA,"Not Found",NA,"Zika virus","ZIKV","Zika virus (ZIKV)","Flaviviridae"
"31","hsa0304015","hsa03040","Spliceosome","8/22","217/8661",3.22754285345692e-08,9.35987427502508e-07,8.49353382488664e-07,"84950/11017/9939/6427/6432/55119/10929/9879",8,"UP000008591",9.35987427502508e-07,6.02872998481206,NA,"Not Found",NA,"Hepatitis B virus genotype C subtype ayr","HBVCJ","Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C)","Hepadnaviridae"
"32","hsa030156","hsa03015","mRNA surveillance pathway","3/22","97/8661",0.00179700620989181,0.0173710600289542,0.015763212367472,"10250/9939/10921",3,"UP000008591",0.0173710600289542,1.76017367892315,NA,"Not Found",NA,"Hepatitis B virus genotype C subtype ayr","HBVCJ","Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C)","Hepadnaviridae"
"33","hsa0304018","hsa03040","Spliceosome","8/26","217/8661",1.44608669279788e-07,1.01226068495852e-05,1.01226068495852e-05,"84950/11017/9939/6427/6432/55119/10929/9879",8,"UP000007407",1.01226068495852e-05,4.99470763032242,NA,"Not Found",NA,"Hepatitis B virus genotype G","HBVG3","Hepatitis B virus genotype G (isolate IG29227/2000) (HBV-G)","Hepadnaviridae"
"34","hsa030823","hsa03082","ATP-dependent chromatin remodeling","46/1211","117/8661",8.28417427362223e-12,2.70892498747447e-09,2.30212842972239e-09,"57492/54617/8289/1107/6595/196528/10847/2186/8295/6594/55193/221613/317772/3014/85235/723790/8337/8330/8332/8336/8329/8969/3013/8331/8338/55766/8334/92815/8335/3012/6597/29998/6601/80314/6599/29844/6944/8932/6603/10933/9031/57634/1108/29994/124944/64431",46,"UP000137988",2.70892498747447e-09,8.56720302079812,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"35","hsa049743","hsa04974","Protein digestion and absorption","39/1211","103/8661",1.19427125786936e-09,1.95263350661641e-07,1.65940848461848e-07,"2006/478/1277/1284/1281/1287/1296/84570/255631/1278/1289/1299/1305/1295/50509/1285/1310/1294/1306/1300/1297/1288/3784/1301/81578/1286/1303/85301/1302/23439/340267/1280/1293/169044/1282/1506/1298/80781/136227",39,"UP000137988",1.95263350661641e-07,6.70937926259555,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"36","hsa043304","hsa04330","Notch signaling pathway","24/1211","62/8661",1.16854774785985e-06,0.000127371704516723,0.000108244422959649,"7091/23013/2648/3714/1840/84441/196403/55534/2033/1387/5986/8850/9253/3955/1856/10683/83737/4851/9794/388585/6868/23493/9612/6310",24,"UP000137988",0.000127371704516723,3.89492703932481,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"37","hsa051658","hsa05165","Human papillomavirus infection","77/1211","331/8661",2.49525792050487e-06,0.000203987335001274,0.00017335476079297,"2778/7471/2308/5925/10297/55502/23513/23352/7157/5934/1277/1284/7482/1287/1278/1299/1285/10312/1956/148022/5296/7098/1297/84441/356/3911/84667/55534/1288/1869/8313/54626/3915/2033/1387/3685/5986/5970/1286/3955/1856/3909/7015/57801/8325/537/84699/4851/8772/9794/8717/3107/3106/388585/7249/1280/1293/23493/5595/1282/148327/5610/2932/7480/3371/1108/80326/7297/6932/6934/5526/6198/1298/3675/5734/8324/7476",77,"UP000137988",0.000203987335001274,3.69039679585747,0.0132130768920498,"Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"38","hsa040103","hsa04010","MAPK signaling pathway","70/1211","301/8661",7.25434836980355e-06,0.000474434383385152,0.000403189046237503,"51701/6722/3727/4216/1398/1847/4296/59283/5532/7157/8911/1850/673/1956/9252/8986/5600/4293/1944/4803/356/773/5623/5921/5922/2768/778/4902/5970/5062/9448/9175/4914/5598/8717/4294/8912/9344/2248/4137/23542/84451/8913/4775/9048/3315/5595/7867/4215/10746/6300/9064/4217/1943/1616/9479/10454/26281/782/994/3654/6416/3725/779/776/775/7423/374/23162/84867",70,"UP000137988",0.000474434383385152,3.32382384415195,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"39","hsa049343","hsa04934","Cushing syndrome","42/1211","155/8661",1.13407744438359e-05,0.000618072207189055,0.00052525692160924,"2778/1871/107/7471/5925/10297/3739/8911/7482/673/1956/112/1869/778/8313/4297/1856/196883/8325/9101/84699/5087/8912/8085/816/8913/5595/1584/148327/79798/1388/2932/7480/5330/80326/6932/6934/779/776/775/8324/7476",42,"UP000137988",0.000618072207189055,3.20896078485957,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"40","hsa043104","hsa04310","Wnt signaling pathway","45/1211","174/8661",2.05030207373848e-05,0.000957783968732117,0.00081395450746911,"51701/6907/7471/79718/7091/80319/1501/10297/5532/7157/6259/440193/7482/8061/23002/23500/8313/2033/1387/23401/4089/6425/1856/8325/4919/10023/816/4775/2932/7480/8840/5330/23411/80326/59352/84445/6932/6934/3725/387/55366/8549/8324/1459/7476",45,"UP000137988",0.000957783968732117,3.01873243639912,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"41","hsa049282","hsa04928","Parathyroid hormone synthesis, secretion and action","30/1211","106/8661",8.35028059208604e-05,0.00341317719201517,0.00290062378461936,"2778/4326/107/860/3727/673/1956/112/4666/5144/10893/2768/846/6257/196883/84699/1594/11214/5595/148327/6256/6258/1388/5330/5143/8600/4209/596/64386/387",30,"UP000137988",0.00341317719201517,2.46684116512983,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"42","hsa045125","hsa04512","ECM-receptor interaction","26/1211","89/8661",0.000138309147583914,0.00502523236221553,0.00427059824118751,"341640/1834/1277/1284/1287/1278/1299/1285/2814/1297/3911/1288/3915/3685/1286/2812/2815/3909/375790/3339/1280/1293/1282/3371/1298/3675",26,"UP000137988",0.00502523236221553,2.29884385205774,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"43","hsa047224","hsa04722","Neurotrophin signaling pathway","31/1211","119/8661",0.000333816748899782,0.0109158076890229,0.0092765917588992,"1398/7157/398/5170/25/673/25970/5296/9252/5600/4803/356/5970/6272/4914/2309/5598/4793/10603/816/5335/5595/4215/2932/6300/4217/596/3654/57498/3725/387",31,"UP000137988",0.0109158076890229,1.96194412418681,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"44","hsa052152","hsa05215","Prostate cancer","26/1211","97/8661",0.000614497886627312,0.0182673462661028,0.0155241571358479,"1871/2308/5925/7157/5170/7850/673/1956/5296/367/1869/2033/1387/5970/84699/5595/148327/2932/6935/6692/6932/6934/7113/2119/4314/596",26,"UP000137988",0.0182673462661028,1.73832453889251,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"45","hsa049195","hsa04919","Thyroid hormone signaling pathway","30/1211","121/8661",0.00100294197647767,0.0245751295673328,0.0208847069234697,"2626/9282/2308/478/2648/7157/5170/5296/9969/23389/2033/1387/3685/8850/25942/6257/4851/113026/23439/7249/5335/5595/6256/6258/2932/5211/89869/5330/9968/116931",30,"UP000137988",0.0245751295673328,1.60950418376116,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"46","hsa049272","hsa04927","Cortisol synthesis and secretion","19/1211","65/8661",0.00105214622000813,0.0245751295673328,0.0208847069234697,"2778/107/3739/8911/112/778/196883/84699/5087/8912/8913/1584/148327/1388/5330/190/779/776/775",19,"UP000137988",0.0245751295673328,1.60950418376116,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"47","hsa049113","hsa04911","Insulin secretion","23/1211","86/8661",0.00128075636876855,0.0279204888391544,0.0237276969371857,"2778/107/157855/478/3651/6262/112/3780/3782/778/27445/196883/84699/23439/816/139760/148327/1388/5330/779/776/775/3781",23,"UP000137988",0.0279204888391544,1.55407698224197,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"48","hsa052245","hsa05224","Breast cancer","34/1211","147/8661",0.00175963318094861,0.0353734872994903,0.0300614860681328,"1871/7471/5925/3714/10297/7157/7482/673/1956/5296/5241/1869/8313/23401/1856/10683/8325/4851/388585/10023/2248/23493/5595/2932/7480/80326/8600/6932/6934/26281/6198/3725/8324/7476",34,"UP000137988",0.0353734872994903,1.45132212310104,0.00723463844693683,"Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"49","hsa052171","hsa05217","Basal cell carcinoma","18/1211","63/8661",0.00187835937796353,0.0353734872994903,0.0300614860681328,"7471/10297/7157/7482/374654/8313/5727/1856/8325/2736/2932/7480/51684/80326/6932/6934/8324/7476",18,"UP000137988",0.0353734872994903,1.45132212310104,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"50","hsa052024","hsa05202","Transcriptional misregulation in cancer","42/1211","193/8661",0.00194716443850405,0.0353734872994903,0.0300614860681328,"4613/860/54738/2308/1025/79058/7490/3206/7157/1051/4298/64332/7850/4094/84444/1050/4297/5970/25942/4914/6257/85414/4066/3087/5079/5087/1669/6256/6258/8013/64919/6935/6692/7113/2119/4314/905/55589/8938/51804/1655/3207",42,"UP000137988",0.0353734872994903,1.45132212310104,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"51","hsa049293","hsa04929","GnRH secretion","18/1211","64/8661",0.0022790148928047,0.0392230457866915,0.0333329602050106,"610/8911/5296/3780/3782/778/348980/9568/8912/8913/5595/5330/3763/57657/779/776/775/3781",18,"UP000137988",0.0392230457866915,1.40645868509472,NA,"Not Found",TRUE,"Cercopithecine alphaherpesvirus 2","UP000137988","Cercopithecine alphaherpesvirus 2","Herpesviridae"
"52","hsa0497410","hsa04974","Protein digestion and absorption","39/1068","103/8661",2.65229652514409e-11,8.75257853297551e-09,7.76145719989535e-09,"1308/340267/1307/1277/80781/169044/2006/7373/1303/6543/1297/1284/1281/1280/1299/85301/1282/81578/1287/10136/23436/1288/1360/136227/1285/50509/1298/1306/84570/6547/6546/1296/1292/1278/255631/1290/1294/6550/1300",39,"UP000153037",8.75257853297551e-09,8.05786398381515,8.03626841994668e-05,"Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"53","hsa0433011","hsa04330","Notch signaling pathway","24/1068","62/8661",1.09922147908883e-07,1.81371544049657e-05,1.60833458519313e-05,"1840/196403/7091/7090/7088/23013/4854/83737/8850/55534/102723796/9612/6310/4855/1387/2033/84441/23385/9541/9794/5986/3714/3280/1856",24,"UP000153037",1.81371544049657e-05,4.74143084975456,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"54","hsa0401011","hsa04010","MAPK signaling pathway","68/1068","301/8661",3.14796721097501e-07,3.46276393207251e-05,3.07064871807386e-05,"59283/3727/4791/774/8911/5532/4216/356/84867/51701/4775/5623/11184/9048/9261/782/8912/8605/9448/6416/4790/9344/1850/1944/773/1956/23542/6655/5970/7157/4214/8913/6654/2323/4772/2247/2261/23162/6237/5921/2322/7132/929/673/4909/994/1436/4294/4763/3303/3304/80824/1849/2264/1398/1852/1945/9479/9693/7040/5979/2872/4296/3654/5598/3305/4914/5530",68,"UP000153037",3.46276393207251e-05,4.46057711471472,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"55","hsa0516520","hsa05165","Human papillomavirus infection","71/1068","331/8661",1.3729906322277e-06,0.000113271727158785,0.000100445104147184,"8325/83439/2778/5925/23352/356/1277/6199/148022/1108/55502/4854/7471/3105/1297/1284/1280/1299/54626/4790/10207/1282/1287/7337/4599/55534/1956/581/5295/6655/5970/1288/7157/3911/50617/6654/5296/10297/1285/7475/7148/5934/4855/7482/8322/55844/7132/1387/2033/7248/3691/84441/1298/9794/1499/2932/63923/3106/5986/1739/1292/572/7249/1278/245973/5728/3455/84552/523/3280/1856",71,"UP000153037",0.000113271727158785,3.9458784773493,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"56","hsa0522510","hsa05225","Hepatocellular carcinoma","38/1068","168/8661",0.000124729422508795,0.00823214188558045,0.00729995356998841,"8325/57492/83439/8289/51176/5925/6601/6199/1871/6599/7471/4089/6602/196528/1956/581/5295/6655/7157/6654/5296/10297/7475/7482/8322/673/4041/3162/25759/6597/6595/1499/2932/7040/572/29117/5728/1856",38,"UP000153037",0.00823214188558045,2.08448715287225,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"57","hsa0031012","hsa00310","Lysine degradation","18/1068","63/8661",0.000421693964650728,0.0198798583335343,0.0176287101011883,"7799/9739/23067/84444/9757/29072/93166/55904/54904/4297/8085/79709/5351/58508/79813/1892/10919/2639",18,"UP000153037",0.0198798583335343,1.70158671476685,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"58","hsa052174","hsa05217","Basal cell carcinoma","18/1068","63/8661",0.000421693964650728,0.0198798583335343,0.0176287101011883,"8325/83439/51176/2736/7471/581/7157/10297/7475/51684/7482/8322/1499/2932/6469/8643/5727/1856",18,"UP000153037",0.0198798583335343,1.70158671476685,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
"59","hsa015229","hsa01522","Endocrine resistance","24/1068","98/8661",0.000643056618965647,0.0265260855323329,0.0235223342200592,"107/10498/2778/5925/9611/6199/1871/4854/1956/581/5295/6655/8647/7157/6654/5296/4318/4855/673/638/25759/109/572/3714",24,"UP000153037",0.0265260855323329,1.57632683434253,NA,"Not Found",TRUE,"Epstein-Barr virus","EBVB9","Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)","Herpesviridae"
