"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","virus"
"hsa04613","hsa04613","Neutrophil extracellular trap formation","25/323","192/8843",2.76722308067514e-08,2.57351746502788e-06,2.32058356589951e-06,"5595/10533/5296/3146/5330/10014/3012/3013/3014/8329/8330/8331/8332/8334/8335/8336/8337/8338/8969/55766/85235/92815/221613/317772/723790",25,"UP000000569"
"hsa05322","hsa05322","Systemic lupus erythematosus","20/323","139/8843",1.3507869380402e-07,9.42173889283041e-06,8.49573889977916e-06,"6628/3012/3013/3014/8329/8330/8331/8332/8334/8335/8336/8337/8338/8969/55766/85235/92815/221613/317772/723790",20,"UP000000569"
"hsa04217","hsa04217","Necroptosis","21/323","159/8843",2.90131286115356e-07,1.61893257652369e-05,1.45981847119095e-05,"8797/3146/3012/3013/3014/8329/8330/8331/8332/8334/8335/8336/8337/8338/8969/55766/85235/92815/221613/317772/723790",21,"UP000000569"
"hsa04713","hsa04713","Circadian entrainment","12/323","97/8843",0.000201439289672863,0.00936692696978813,0.00844631407575689,"2778/5595/5187/2977/2906/107/6261/8911/5330/8912/6262/196883",12,"UP000000569"
"hsa05225","hsa05225","Hepatocellular carcinoma","16/323","170/8843",0.000472580632622671,0.0188357137859608,0.016984476871702,"6601/5595/57492/8289/6599/1871/7157/5296/10023/23401/6595/6597/8325/6603/8324/4089",16,"UP000000569"
"hsa04310","hsa04310","Wnt signaling pathway","16/323","174/8843",0.000611331097198421,0.0213201720147949,0.0192247542408451,"6907/51701/8840/7091/79718/23411/7157/4919/4775/10023/23401/5330/8325/8324/1459/4089",16,"UP000000569"
"hsa04927","hsa04927","Cortisol synthesis and secretion","8/323","65/8843",0.00238848294997604,0.0740429714492574,0.0667657807069327,"2778/107/8911/778/3739/5330/8912/196883",8,"UP000000569"
"hsa04070","hsa04070","Phosphatidylinositol signaling system","10/323","98/8843",0.00297988932188747,0.0831389120806603,0.0749677418874847,"9162/54928/55361/5296/113026/5330/89869/1609/55300/8776",10,"UP000000569"
"hsa04934","hsa04934","Cushing syndrome","13/323","155/8843",0.00435522892730354,0.101003857552481,0.0910768608000109,"2778/5595/1871/107/8911/778/3739/5330/8912/8325/4297/8324/196883",13,"UP000000569"
"hsa04919","hsa04919","Thyroid hormone signaling pathway","11/323","122/8843",0.00492771267442233,0.101003857552481,0.0910768608000109,"2626/5595/2308/9282/7157/5296/23439/113026/5330/89869/6257",11,"UP000000569"
"hsa04020","hsa04020","Calcium signaling pathway","18/323","254/8843",0.00542146197000751,0.101003857552481,0.0910768608000109,"2778/57620/4486/2906/107/6261/773/8911/4775/778/3270/113026/5330/89869/8912/6262/887/196883",18,"UP000000569"
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","7/323","59/8843",0.005426192037515,0.101003857552481,0.0910768608000109,"2778/8471/57104/107/5296/8660/196883",7,"UP000000569"
"hsa04211","hsa04211","Longevity regulating pathway","9/323","90/8843",0.00543031492217638,0.101003857552481,0.0910768608000109,"8471/10919/2308/23411/7157/107/5296/8660/196883",9,"UP000000569"
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","7/323","62/8843",0.0071290636067519,0.120531153787311,0.10868494908571,"8471/2308/23411/107/5296/8660/196883",7,"UP000000569"
"hsa04022","hsa04022","cGMP-PKG signaling pathway","13/323","166/8843",0.00769792620972581,0.120531153787311,0.10868494908571,"2626/8471/5595/2977/107/4775/778/23439/151/1258/5330/8660/196883",13,"UP000000569"
"hsa00310","hsa00310","Lysine degradation","7/323","63/8843",0.0077762034701491,0.120531153787311,0.10868494908571,"10919/93166/23127/7799/9739/23067/4297",7,"UP000000569"
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","10/323","115/8843",0.00921660644441621,0.131068512747241,0.118186661183137,"860/2778/5595/3727/27347/107/5143/5330/6257/196883",10,"UP000000569"
"hsa04925","hsa04925","Aldosterone synthesis and secretion","9/323","98/8843",0.00939559231163017,0.131068512747241,0.118186661183137,"2778/5587/107/8911/778/23439/5330/8912/196883",9,"UP000000569"
"hsa03083","hsa03083","Polycomb repressive complex","8/323","83/8843",0.0106138674789434,0.134329852340135,0.121127465418948,"55252/64319/3054/221937/121536/84108/6015/22992",8,"UP000000569"
"hsa04921","hsa04921","Oxytocin signaling pathway","12/323","154/8843",0.0106453081555285,0.134329852340135,0.121127465418948,"2778/5595/3761/2977/107/6261/4775/778/5330/6262/54776/196883",12,"UP000000569"
"hsa05202","hsa05202","Transcriptional misregulation in cancer","14/323","193/8843",0.0110737871104771,0.134329852340135,0.121127465418948,"860/54738/8013/2308/5079/7157/4094/64919/6935/1051/55589/6257/4297/3087",14,"UP000000569"
"hsa04911","hsa04911","Insulin secretion","8/323","86/8843",0.0130028553793885,0.151158193785392,0.136301861213766,"2778/107/778/23439/5330/27445/6262/196883",8,"UP000000569"
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","10/323","122/8843",0.0136421150624123,0.152246004096521,0.137282757891223,"2778/8471/5595/107/5296/778/6753/5330/8660/196883",10,"UP000000569"
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","11/323","144/8843",0.0162250255652982,0.174107005104546,0.156995186643979,"463/5595/3400/6926/5296/84108/8325/3231/8324/4089/9421",11,"UP000000569"
"hsa04540","hsa04540","Gap junction","8/323","92/8843",0.0189264862061867,0.195573690797263,0.176352054708718,"2778/5595/10382/2977/107/5330/84617/196883",8,"UP000000569"
"hsa04730","hsa04730","Long-term depression","6/323","60/8843",0.0216680528507592,0.215906669477208,0.194686640275619,"2778/5595/2977/6261/773/5330",6,"UP000000569"
"hsa04930","hsa04930","Type II diabetes mellitus","5/323","47/8843",0.0275775311612297,0.265314868758037,0.239238836571103,"8471/5595/773/5296/8660",5,"UP000000569"
"hsa04218","hsa04218","Cellular senescence","11/323","157/8843",0.0286928688911096,0.266843680687319,0.240617391753516,"2626/5595/2308/23411/1871/7157/3106/3107/678/4775/5296",11,"UP000000569"
"hsa04929","hsa04929","GnRH secretion","6/323","65/8843",0.0307692405995281,0.276923165395753,0.24970623101145,"5595/8911/5296/778/5330/8912",6,"UP000000569"
"hsa03015","hsa03015","mRNA surveillance pathway","8/323","103/8843",0.0343946323838381,0.299878201096589,0.270405169070306,"8106/29894/5411/22985/390748/5976/5042/10250",8,"UP000000569"
"hsa05165","hsa05165","Human papillomavirus infection","19/323","333/8843",0.0358570392169255,0.303154967924916,0.273359884301282,"2778/5595/3911/2308/1278/57801/23493/7157/84441/3106/3107/5296/1108/8325/8324/537/3955/55502/3915",19,"UP000000569"
"hsa04611","hsa04611","Platelet activation","9/323","125/8843",0.039153906288682,0.321292348663008,0.289714662631424,"2778/5595/1278/2977/107/7094/5296/5330/196883",9,"UP000000569"
"hsa03030","hsa03030","DNA replication","4/323","36/8843",0.041066897269455,0.327361838233656,0.295187622478188,"5424/4171/5426/4176",4,"UP000000569"
"hsa03013","hsa03013","Nucleocytoplasmic transport","8/323","108/8843",0.0436564299376169,0.334613580458363,0.301726639236177,"23279/55705/5411/5905/22985/23636/5976/10250",8,"UP000000569"
"hsa05224","hsa05224","Breast cancer","10/323","148/8843",0.0443752776951951,0.334613580458363,0.301726639236177,"5595/5241/1871/23493/7157/5296/10023/23401/8325/8324",10,"UP000000569"
"hsa05226","hsa05226","Gastric cancer","10/323","150/8843",0.0478681703689512,0.343614361642105,0.30984279355768,"5595/1871/7157/5296/10023/23401/8325/6257/8324/4089",10,"UP000000569"
"hsa04010","hsa04010","MAPK signaling pathway","17/323","300/8843",0.0480321150682513,0.343614361642105,0.30984279355768,"51701/4216/5595/4296/3727/7157/773/84451/8911/4775/778/9344/23542/1616/8912/7867/5921",17,"UP000000569"
"hsa00562","hsa00562","Inositol phosphate metabolism","6/323","73/8843",0.049951199436902,0.348409616072391,0.314166754353147,"55361/113026/5330/89869/55300/8776",6,"UP000000569"
"hsa04520","hsa04520","Adherens junction","7/323","93/8843",0.0532221078631186,0.352641647827265,0.317982847880462,"51701/5595/5818/58498/1459/55698/4089",7,"UP000000569"
"hsa04912","hsa04912","GnRH signaling pathway","7/323","93/8843",0.0532221078631186,0.352641647827265,0.317982847880462,"2778/4216/5595/107/778/5330/196883",7,"UP000000569"
"hsa04068","hsa04068","FoxO signaling pathway","9/323","133/8843",0.0543497880163885,0.352641647827265,0.317982847880462,"51701/8471/5595/2308/23411/100132074/5296/8660/4089",9,"UP000000569"
"hsa04918","hsa04918","Thyroid hormone synthesis","6/323","75/8843",0.055679301114929,0.352852995906656,0.318173423964123,"2778/107/23439/5330/9601/196883",6,"UP000000569"
"hsa04971","hsa04971","Gastric acid secretion","6/323","76/8843",0.0586859860112028,0.352852995906656,0.318173423964123,"2778/107/23439/5330/887/196883",6,"UP000000569"
"hsa04725","hsa04725","Cholinergic synapse","8/323","115/8843",0.0591786020321054,0.352852995906656,0.318173423964123,"5595/3761/107/773/5296/778/5330/196883",8,"UP000000569"
"hsa04148","hsa04148","Efferocytosis","10/323","156/8843",0.0594411856903685,0.352852995906656,0.318173423964123,"5595/8578/2057/23411/114786/4775/4035/1051/23166/575",10,"UP000000569"
"hsa04970","hsa04970","Salivary secretion","7/323","97/8843",0.0639625867097071,0.371782535250173,0.335242504903947,"2778/6558/2977/107/23439/5330/196883",7,"UP000000569"
"hsa04950","hsa04950","Maturity onset diabetes of the young","3/323","26/8843",0.0675518254763598,0.378175475788306,0.341007125875892,"3110/4825/3087",3,"UP000000569"
"hsa01522","hsa01522","Endocrine resistance","7/323","99/8843",0.0697925905332235,0.378175475788306,0.341007125875892,"2778/5595/1871/7157/107/5296/196883",7,"UP000000569"
"hsa04024","hsa04024","cAMP signaling pathway","13/323","226/8843",0.0704843180680714,0.378175475788306,0.341007125875892,"2778/5595/10846/2906/107/5296/778/23439/84152/1258/5143/6262/196883",13,"UP000000569"
"hsa05163","hsa05163","Human cytomegalovirus infection","13/323","226/8843",0.0704843180680714,0.378175475788306,0.341007125875892,"2778/5595/1871/7157/115004/107/3106/3107/2923/4775/5296/5330/196883",13,"UP000000569"
"hsa04330","hsa04330","Notch signaling pathway","5/323","62/8843",0.0752786370850803,0.378295253130584,0.341115131100583,"7091/23493/84441/23013/3955",5,"UP000000569"
"hsa03022","hsa03022","Basal transcription factors","4/323","44/8843",0.0756912471125024,0.378295253130584,0.341115131100583,"6874/6877/6881/2962",4,"UP000000569"
"hsa04916","hsa04916","Melanogenesis","7/323","101/8843",0.075930230019042,0.378295253130584,0.341115131100583,"2778/5595/107/5330/8325/8324/196883",7,"UP000000569"
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/323","101/8843",0.075930230019042,0.378295253130584,0.341115131100583,"5595/2308/1278/5296/113026/5330/4089",7,"UP000000569"
"hsa05017","hsa05017","Spinocerebellar ataxia","9/323","144/8843",0.0808348471585238,0.390887348103289,0.35246963288695,"9698/23369/2906/6261/773/5296/5330/23152/4654",9,"UP000000569"
"hsa05146","hsa05146","Amoebiasis","7/323","103/8843",0.0823751517956088,0.390887348103289,0.35246963288695,"2778/3911/1278/107/5296/5330/3915",7,"UP000000569"
"hsa04820","hsa04820","Cytoskeleton in muscle cells","13/323","232/8843",0.0826607653695128,0.390887348103289,0.35246963288695,"2006/6641/1278/9672/3339/7094/4632/23439/7138/442721/84676/81624/58498",13,"UP000000569"
"hsa00561","hsa00561","Glycerolipid metabolism","5/323","65/8843",0.088160523988431,0.408079029176138,0.3679716580762,"9162/57104/8611/1609/7920",5,"UP000000569"
"hsa04714","hsa04714","Thermogenesis","13/323","235/8843",0.0892215798557147,0.408079029176138,0.3679716580762,"2778/23028/6601/57492/513/8289/6599/57104/107/6595/6597/6603/196883",13,"UP000000569"
"hsa04972","hsa04972","Pancreatic secretion","7/323","106/8843",0.0926155945243946,0.416770175359776,0.375808609360447,"2778/6558/107/23439/5330/6262/196883",7,"UP000000569"
"hsa04072","hsa04072","Phospholipase D signaling pathway","9/323","149/8843",0.0950745998033304,0.421044656271892,0.379662979999933,"2778/5595/9162/107/8611/5296/5330/1609/196883",9,"UP000000569"
"hsa05030","hsa05030","Cocaine addiction","4/323","49/8843",0.102886390224968,0.438994802265343,0.395848925642018,"2778/2906/84152/7054",4,"UP000000569"
"hsa04814","hsa04814","Motor proteins","11/323","197/8843",0.106521844868951,0.438994802265343,0.395848925642018,"10382/4641/4632/9371/547/7138/80022/84617/55083/58498/90990",11,"UP000000569"
"hsa04924","hsa04924","Renin secretion","5/323","69/8843",0.106995148939223,0.438994802265343,0.395848925642018,"2778/2977/778/5330/1636",5,"UP000000569"
"hsa05031","hsa05031","Amphetamine addiction","5/323","69/8843",0.106995148939223,0.438994802265343,0.395848925642018,"2778/23411/2906/84152/7054",5,"UP000000569"
"hsa05416","hsa05416","Viral myocarditis","5/323","69/8843",0.106995148939223,0.438994802265343,0.395848925642018,"8672/6641/3106/3107/1981",5,"UP000000569"
"hsa05110","hsa05110","Vibrio cholerae infection","4/323","51/8843",0.114860287010175,0.453448687850307,0.408882235035742,"2778/6558/9601/537",4,"UP000000569"
"hsa05032","hsa05032","Morphine addiction","6/323","91/8843",0.115110300857288,0.453448687850307,0.408882235035742,"2778/10846/107/773/5143/196883",6,"UP000000569"
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","12/323","223/8843",0.115846137510223,0.453448687850307,0.408882235035742,"5595/1871/7157/107/3106/3107/7094/4775/5296/196883/9232/4089",12,"UP000000569"
"hsa04270","hsa04270","Vascular smooth muscle contraction","8/323","134/8843",0.117019016219434,0.453448687850307,0.408882235035742,"2778/5595/2977/107/778/5330/54776/196883",8,"UP000000569"
"hsa04110","hsa04110","Cell cycle","9/323","158/8843",0.124146554338691,0.468192472906796,0.422176951611863,"23383/1871/7157/4171/7465/546/4176/9232/4089",9,"UP000000569"
"hsa05222","hsa05222","Small cell lung cancer","6/323","93/8843",0.124180082419724,0.468192472906796,0.422176951611863,"3911/1871/7157/5296/6257/3915",6,"UP000000569"
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","4/323","53/8843",0.127414713517846,0.468533195248255,0.422484186622649,"2778/1212/23439/5330",4,"UP000000569"
"hsa05223","hsa05223","Non-small cell lung cancer","5/323","73/8843",0.127629114117804,0.468533195248255,0.422484186622649,"5595/1871/7157/5296/6257",5,"UP000000569"
"hsa04724","hsa04724","Glutamatergic synapse","7/323","116/8843",0.131581519904804,0.476769403291433,0.429910912607631,"2778/5595/2906/107/773/5330/196883",7,"UP000000569"
"hsa04980","hsa04980","Cobalamin transport and metabolism","2/323","18/8843",0.138780106923822,0.494326541009987,0.44574247614181,"3054/57215",2,"UP000000569"
"hsa04371","hsa04371","Apelin signaling pathway","8/323","140/8843",0.139970597633652,0.494326541009987,0.44574247614181,"5595/107/6261/5330/6262/10014/196883/4089",8,"UP000000569"
"hsa05215","hsa05215","Prostate cancer","6/323","98/8843",0.14831499502792,0.509735848563286,0.459637305439069,"5595/2308/1871/7157/5296/6935",6,"UP000000569"
"hsa05212","hsa05212","Pancreatic cancer","5/323","77/8843",0.149930519548184,0.509735848563286,0.459637305439069,"5595/1871/7157/5296/4089",5,"UP000000569"
"hsa05220","hsa05220","Chronic myeloid leukemia","5/323","77/8843",0.149930519548184,0.509735848563286,0.459637305439069,"5595/1871/7157/5296/4089",5,"UP000000569"
"hsa05216","hsa05216","Thyroid cancer","3/323","37/8843",0.151641847422053,0.509735848563286,0.459637305439069,"5595/7157/6257",3,"UP000000569"
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","3/323","38/8843",0.160469431456624,0.53298775448093,0.480603936317459,"5595/5296/23439",3,"UP000000569"
"hsa04140","hsa04140","Autophagy - animal","9/323","169/8843",0.165404596075611,0.542916262412887,0.489556637301189,"8471/5595/170067/10533/5296/3146/4077/8660/79065",9,"UP000000569"
"hsa05142","hsa05142","Chagas disease","6/323","103/8843",0.174388396736039,0.565748403364592,0.510144759117667,"2778/5595/107/5296/5330/1636",6,"UP000000569"
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/323","21/8843",0.177686454443599,0.569822078043267,0.513818059431582,"337876/54480",2,"UP000000569"
"hsa05414","hsa05414","Dilated cardiomyopathy","6/323","105/8843",0.185313988013135,0.587529575632553,0.52978520496578,"2778/6641/107/778/6262/196883",6,"UP000000569"
"hsa05219","hsa05219","Bladder cancer","3/323","41/8843",0.187821263817507,0.588788006798701,0.530919953310279,"5595/1871/7157",3,"UP000000569"
"hsa04926","hsa04926","Relaxin signaling pathway","7/323","130/8843",0.197440118873771,0.600452375026293,0.541437908437216,"2778/5595/1278/107/5296/5330/196883",7,"UP000000569"
"hsa05217","hsa05217","Basal cell carcinoma","4/323","63/8843",0.197646990751313,0.600452375026293,0.541437908437216,"2736/7157/8325/8324",4,"UP000000569"
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","8/323","154/8843",0.20130006384414,0.600452375026293,0.541437908437216,"2778/5595/107/778/23439/5330/6262/196883",8,"UP000000569"
"hsa04350","hsa04350","TGF-beta signaling pathway","6/323","108/8843",0.202188425413807,0.600452375026293,0.541437908437216,"5595/3400/151449/4092/7036/4089",6,"UP000000569"
"hsa03430","hsa03430","Mismatch repair","2/323","23/8843",0.204455109775978,0.600452375026293,0.541437908437216,"4437/5424",2,"UP000000569"
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","2/323","23/8843",0.204455109775978,0.600452375026293,0.541437908437216,"23439/762",2,"UP000000569"
"hsa04931","hsa04931","Insulin resistance","6/323","109/8843",0.207935167921299,0.60332334198296,0.544026707164412,"2308/11000/90673/5296/133522/8660",6,"UP000000569"
"hsa04260","hsa04260","Cardiac muscle contraction","5/323","87/8843",0.211920026933083,0.60332334198296,0.544026707164412,"778/3270/23439/6262/84679",5,"UP000000569"
"hsa05210","hsa05210","Colorectal cancer","5/323","87/8843",0.211920026933083,0.60332334198296,0.544026707164412,"4437/5595/7157/5296/4089",5,"UP000000569"
"hsa04390","hsa04390","Hippo signaling pathway","8/323","157/8843",0.215689696694017,0.603369929058914,0.544068715506812,"154796/151449/2736/4092/23286/8325/8324/4089",8,"UP000000569"
"hsa03410","hsa03410","Base excision repair","3/323","44/8843",0.216261623318607,0.603369929058914,0.544068715506812,"5424/3146/5426",3,"UP000000569"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","6/323","111/8843",0.219599686123917,0.606616954738344,0.546996612648422,"5595/5241/107/5296/132864/196883",6,"UP000000569"
"hsa04727","hsa04727","GABAergic synapse","5/323","89/8843",0.225207052616815,0.616007526275407,0.555464247424344,"107/773/778/9001/196883",5,"UP000000569"
"hsa04720","hsa04720","Long-term potentiation","4/323","67/8843",0.228504498361756,0.61848343613248,0.557696816584277,"5595/2906/107/5330",4,"UP000000569"
"hsa04360","hsa04360","Axon guidance","9/323","184/8843",0.230545796981283,0.61848343613248,0.557696816584277,"5595/151449/4917/10154/4775/5296/5063/5921/9423",9,"UP000000569"
"hsa04910","hsa04910","Insulin signaling pathway","7/323","138/8843",0.239928853440577,0.634405942919529,0.572054406179088,"8471/5595/2308/90673/5296/8660/89801",7,"UP000000569"
"hsa04114","hsa04114","Oocyte meiosis","7/323","139/8843",0.245440377932619,0.634405942919529,0.572054406179088,"5595/5241/107/89869/132864/196883/9232",7,"UP000000569"
"hsa04915","hsa04915","Estrogen signaling pathway","7/323","139/8843",0.245440377932619,0.634405942919529,0.572054406179088,"2778/5595/5241/107/5296/5330/196883",7,"UP000000569"
"hsa05161","hsa05161","Hepatitis B","8/323","163/8843",0.245576494033366,0.634405942919529,0.572054406179088,"5595/1871/7157/3339/4775/5296/537/4089",8,"UP000000569"
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","10/323","213/8843",0.251838628238617,0.644614470445635,0.581259605495215,"5595/115004/3106/3107/2923/4775/5296/5063/7465/9730",10,"UP000000569"
"hsa05010","hsa05010","Alzheimer disease","17/323","391/8843",0.262371907672917,0.665470565824944,0.600065894103609,"8471/5595/513/10382/2906/4035/5296/778/10023/23401/5330/57142/8660/8325/84617/8324/1459",17,"UP000000569"
"hsa05218","hsa05218","Melanoma","4/323","73/8843",0.276766757769384,0.695656985744669,0.6272854917675,"5595/1871/7157/5296",4,"UP000000569"
"hsa04913","hsa04913","Ovarian steroidogenesis","3/323","51/8843",0.285389870192245,0.704535697430451,0.635291573989352,"2778/107/196883",3,"UP000000569"
"hsa04744","hsa04744","Phototransduction","2/323","29/8843",0.286410092023615,0.704535697430451,0.635291573989352,"1258/9187",2,"UP000000569"
"hsa01524","hsa01524","Platinum drug resistance","4/323","75/8843",0.29322671697737,0.704535697430451,0.635291573989352,"4437/5595/7157/5296",4,"UP000000569"
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","5/323","99/8843",0.294769788586149,0.704535697430451,0.635291573989352,"2778/107/5296/5330/196883",5,"UP000000569"
"hsa05231","hsa05231","Choline metabolism in cancer","5/323","99/8843",0.294769788586149,0.704535697430451,0.635291573989352,"5595/9162/8611/5296/1609",5,"UP000000569"
"hsa04973","hsa04973","Carbohydrate digestion and absorption","3/323","52/8843",0.295450453761157,0.704535697430451,0.635291573989352,"5296/23439/5330",3,"UP000000569"
"hsa05214","hsa05214","Glioma","4/323","76/8843",0.301505591160121,0.707181733725977,0.637677548992675,"5595/1871/7157/5296",4,"UP000000569"
"hsa05131","hsa05131","Shigellosis","11/323","249/8843",0.301629484994234,0.707181733725977,0.637677548992675,"5595/2308/7157/115004/7094/100132074/5296/113026/5330/89869/58498",11,"UP000000569"
"hsa00920","hsa00920","Sulfur metabolism","1/323","10/8843",0.310846680319585,0.722718531743036,0.651687338564744,"54928",1,"UP000000569"
"hsa04510","hsa04510","Focal adhesion","9/323","203/8843",0.323836615174022,0.74018215202956,0.667434575872721,"5595/3911/1278/7094/5296/5063/58498/54776/3915",9,"UP000000569"
"hsa00230","hsa00230","Purine metabolism","6/323","128/8843",0.325728705416548,0.74018215202956,0.667434575872721,"10846/2977/107/5143/221264/196883",6,"UP000000569"
"hsa04136","hsa04136","Autophagy - other","2/323","32/8843",0.327283997436983,0.74018215202956,0.667434575872721,"10533/79065",2,"UP000000569"
"hsa05205","hsa05205","Proteoglycans in cancer","9/323","204/8843",0.328969845346471,0.74018215202956,0.667434575872721,"5595/1278/7157/3339/5296/8325/7023/8324/54776",9,"UP000000569"
"hsa04137","hsa04137","Mitophagy - animal","5/323","105/8843",0.338143905429099,0.748747219164434,0.675157839578569,"7157/4077/23770/1459/79065",5,"UP000000569"
"hsa04974","hsa04974","Protein digestion and absorption","5/323","105/8843",0.338143905429099,0.748747219164434,0.675157839578569,"2006/1278/1296/23439/169044",5,"UP000000569"
"hsa04710","hsa04710","Circadian rhythm","2/323","34/8843",0.354195281426874,0.778114043449588,0.701638394206571,"79365/5187",2,"UP000000569"
"hsa04659","hsa04659","Th17 cell differentiation","5/323","108/8843",0.360043129196637,0.784781508170794,0.707650558207205,"5595/4775/246778/6257/4089",5,"UP000000569"
"hsa05213","hsa05213","Endometrial cancer","3/323","59/8843",0.366069666426256,0.791732069247484,0.713917994907182,"5595/7157/5296",3,"UP000000569"
"hsa04370","hsa04370","VEGF signaling pathway","3/323","60/8843",0.376103847337954,0.807176718517608,0.727844692419198,"5595/5296/7867",3,"UP000000569"
"hsa03450","hsa03450","Non-homologous end-joining","1/323","13/8843",0.383725437730807,0.810205856472484,0.73057611657017,"79840",1,"UP000000569"
"hsa04012","hsa04012","ErbB signaling pathway","4/323","86/8843",0.385060709031156,0.810205856472484,0.73057611657017,"10718/5595/5296/5063",4,"UP000000569"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","9/323","215/8843",0.386227164554983,0.810205856472484,0.73057611657017,"2778/5595/5241/107/773/5296/778/6257/196883",9,"UP000000569"
"hsa05330","hsa05330","Allograft rejection","2/323","38/8843",0.406772470593604,0.843546468874492,0.76063990213546,"3106/3107",2,"UP000000569"
"hsa04512","hsa04512","ECM-receptor interaction","4/323","89/8843",0.410039182572469,0.843546468874492,0.76063990213546,"3911/1278/3339/3915",4,"UP000000569"
"hsa04726","hsa04726","Serotonergic synapse","5/323","115/8843",0.411191110275738,0.843546468874492,0.76063990213546,"2778/5595/773/778/5330",5,"UP000000569"
"hsa04976","hsa04976","Bile secretion","4/323","90/8843",0.418322752694172,0.845739478273001,0.762617375239567,"2778/107/23439/196883",4,"UP000000569"
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/323","90/8843",0.418322752694172,0.845739478273001,0.762617375239567,"5595/4775/5296/1459",4,"UP000000569"
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","4/323","92/8843",0.434806841125744,0.870096106273536,0.784580152421714,"5595/84441/4094/4775",4,"UP000000569"
"hsa05020","hsa05020","Prion disease","11/323","278/8843",0.436829597222492,0.870096106273536,0.784580152421714,"5595/513/10382/2906/6261/5296/778/6262/84617/1459/3915",11,"UP000000569"
"hsa05033","hsa05033","Nicotine addiction","2/323","41/8843",0.444823319378459,0.870096106273536,0.784580152421714,"2906/773",2,"UP000000569"
"hsa00513","hsa00513","Various types of N-glycan biosynthesis","2/323","42/8843",0.457204791959761,0.870096106273536,0.784580152421714,"283358/284004",2,"UP000000569"
"hsa04216","hsa04216","Ferroptosis","2/323","42/8843",0.457204791959761,0.870096106273536,0.784580152421714,"10533/7157",2,"UP000000569"
