"","viral_id","Proteome.ID","Pathogen","smooth_curve","mean","percent_of_protein"
"176","F5HF47","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.63157894736842
"177","F5HF49","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",3.47058823529412,2.61780104712042
"178","F5HF62","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",3.22857142857143,13.7026239067055
"179","F5HF68","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.1,4.5662100456621
"180","F5HF90","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.75,8.51063829787234
"181","F5HFA1","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.04918032786885
"182","F5HFA5","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",19.9622641509434,9.17874396135266
"183","F5HFB4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.47368421052632,4.76190476190476
"184","F5HFD2","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.1,2.69905533063428
"185","F5HFG3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.49253731343284
"186","F5HFH0","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.98406374501992
"187","F5HFJ7","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,0.574712643678161
"188","F5HFJ8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,4
"189","F5HFQ0","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.46153846153846,13.1313131313131
"190","F5HFZ4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.05882352941176,4.65753424657534
"191","F5HG20","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,1.43540669856459
"192","F5HG51","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.05263157894737,2.03208556149733
"193","F5HG68","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.27272727272727,5.02283105022831
"194","F5HG95","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.89285714285714,5.98669623059867
"195","F5HG98","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.67857142857143,8.4375
"196","F5HGB6","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.14285714285714,1.03550295857988
"197","F5HGC2","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.72727272727273
"198","F5HGG3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.16666666666667,2.8436018957346
"199","F5HGH5","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,1.61662817551963
"200","F5HGH8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.05761316872428
"201","F5HGI9","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.09090909090909,7.53424657534247
"202","F5HGJ3","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,4.8780487804878
"203","F5HGJ4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.65853658536585,6.35658914728682
"204","F5HGK9","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.26315789473684,3.1986531986532
"205","F5HGN8","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2.72108843537415
"206","F5HGP1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.27272727272727,2.38611713665944
"207","F5HGQ8","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.89873417721519
"208","F5HGT1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.13793103448276,2.13392200147167
"209","F5HGU6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.15789473684211,7.33590733590734
"210","F5HH39","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,0.892857142857143
"211","F5HHQ0","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.76,16.9354838709677
"212","F5HHS3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.42857142857143,10.0719424460432
"213","F5HHT4","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.33333333333333,3.2258064516129
"214","F5HHT6","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.33333333333333,6.46551724137931
"215","F5HHY1","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,2
"216","F5HHZ3","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",9.45454545454546,7.89473684210526
"217","F5HI25","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,5.49450549450549
"218","F5HI32","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.77358490566038
"219","F5HI68","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,1.14942528735632
"220","F5HI85","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,3.76569037656904
"221","F5HI87","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",2.86666666666667,15.0837988826816
"222","F5HIC6","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.08,4.5045045045045
"223","F5HID2","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.07407407407407,7.01298701298701
"224","F5HIG1","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.55357142857143,6.38051044083527
"225","F5HIM6","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1,0.763358778625954
"226","F5HIN0","UP000000942","Human herpesvirus 8 type P","Herpesviridae",1.2,1.80288461538462
"227","F5HIN9","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1,2.03389830508475
"228","F7V995","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",4.46153846153846,11.3924050632911
"229","F7V998","UP000000938","Human cytomegalovirus (Merlin)","Herpesviridae",1.33333333333333,4.61538461538462
"230","G8H3V2","UP000139415","Pichinde mammarenavirus","Other",1.14285714285714,1.92395785616125
"231","O09705","UP000002473","Lassa virus","Other",1.14285714285714,2.22020842772995
"232","O09800","UP000009294","Human herpesvirus 1 (strain 17)","Herpesviridae",1.5,13.75
"233","O09802","UP000009294","Human herpesvirus 1 (strain 17)","Herpesviridae",1,5.40540540540541
"234","O12792","UP000001650","Human astrovirus-1","Other",3.85294117647059,3.48387096774194
"235","O36632","UP000002472","Human respiratory syncytial virus B","Other",1,3.7037037037037
"236","O36633","UP000002472","Human respiratory syncytial virus B","Other",1,3.81944444444444
"237","O36634","UP000002472","Human respiratory syncytial virus B","Other",1.07142857142857,2.4866785079929
"238","O36635","UP000002472","Human respiratory syncytial virus B","Other",1.13636363636364,1.02088167053364
"239","O40975","UP000000869","Molluscum contagiosum virus subtype 1","Poxviridae",1,6.25
"240","O42049","UP000002472","Human respiratory syncytial virus B","Other",1,2.85714285714286
"241","O42050","UP000002472","Human respiratory syncytial virus B","Other",1,2.17391304347826
"242","O42053","UP000002472","Human respiratory syncytial virus B","Other",1.07142857142857,3.68421052631579
"243","O42062","UP000002472","Human respiratory syncytial virus B","Other",1,1.73913043478261
"244","O42083","UP000002472","Human respiratory syncytial virus B","Other",1,3.125
"245","O55777","UP000008771","Hendra virus","Other",1.07692307692308,2.91479820627803
"246","O55778","UP000008771","Hendra virus","Other",1.0625,2.29885057471264
"247","O55779","UP000008771","Hendra virus","Other",1,1.29032258064516
"248","O57310","UP000109776","Human parainfluenza type 1 strain Washington/1964","Other",1.1,1.77304964539007
"249","O73556","UP000000670","Echovirus 23","Other",1.17241379310345,1.29151291512915
"250","O73557","UP000002473","Lassa virus","Other",1.14285714285714,7.95454545454545
"251","O89339","UP000008771","Hendra virus","Other",1,4.41458733205374
"252","O89341","UP000008771","Hendra virus","Other",1,1.46627565982405
"253","O89342","UP000008771","Hendra virus","Other",1.23076923076923,2.42990654205607
"254","O89343","UP000008771","Hendra virus","Other",1,0.674536256323777
"255","O89344","UP000008771","Hendra virus","Other",1,1.56739811912226
"256","O91464","UP000119554","Aichi virus","Other",4.73214285714286,4.08921933085502
"257","P01136","UP000000344","Vaccinia virus","Poxviridae",1.6,3.87596899224806
"258","P03072","UP000008478","JC polyomavirus","Other",1.17391304347826,3.397341211226
"259","P03086","UP000008478","JC polyomavirus","Other",1,1.66666666666667
"260","P03089","UP000008478","JC polyomavirus","Other",1,1.45772594752187
"261","P03095","UP000008478","JC polyomavirus","Other",1,5.70570570570571
"262","P03099","UP000006372","Human papillomavirus 1","Other",1,1.81086519114688
"263","P03101","UP000009251","Human papillomavirus type 16","Other",1,1.21457489878543
"264","P03105","UP000006372","Human papillomavirus 1","Other",1,3.0241935483871
"265","P03107","UP000009251","Human papillomavirus type 16","Other",1,1.51515151515152
"266","P03111","UP000006372","Human papillomavirus 1","Other",1,2.1630615640599
"267","P03114","UP000009251","Human papillomavirus type 16","Other",1.33333333333333,1.41065830721003
"268","P03118","UP000006372","Human papillomavirus 1","Other",1.64285714285714,6.92307692307692
"269","P03120","UP000009251","Human papillomavirus type 16","Other",1,1.12994350282486
"270","P03126","UP000009251","Human papillomavirus type 16","Other",1,1.36054421768707
"271","P03129","UP000009251","Human papillomavirus type 16","Other",1.25,4.59770114942529
"272","P03132","UP000180764","Adenoassociated virus 2","Other",1,1.9047619047619
"273","P03135","UP000180764","Adenoassociated virus 2","Other",1.08695652173913,3.03867403314917
"274","P03170","UP000009294","Human herpesvirus 1 (strain 17)","Herpesviridae",1.16666666666667,7.79220779220779
"275","P03177","UP000153037","Epstein-Barr virus","Herpesviridae",1.58823529411765,2.68456375838926
"276","P03179","UP000153037","Epstein-Barr virus","Herpesviridae",1.02702702702703,5.58530986993114
"277","P03180","UP000153037","Epstein-Barr virus","Herpesviridae",1.00724637681159,83.0188679245283
"278","P03181","UP000153037","Epstein-Barr virus","Herpesviridae",2.54545454545455,24.0369799691834
"279","P03182","UP000153037","Epstein-Barr virus","Herpesviridae",1,5
"280","P03184","UP000153037","Epstein-Barr virus","Herpesviridae",1.1,1.94552529182879
"281","P03185","UP000153037","Epstein-Barr virus","Herpesviridae",1.625,2.46153846153846
"282","P03186","UP000153037","Epstein-Barr virus","Herpesviridae",3.41828254847645,10.6118546845124
"283","P03187","UP000153037","Epstein-Barr virus","Herpesviridae",2.28125,8.4985835694051
"284","P03188","UP000153037","Epstein-Barr virus","Herpesviridae",2.36842105263158,4.1371158392435
"285","P03189","UP000153037","Epstein-Barr virus","Herpesviridae",1.77064220183486,8.79478827361564
"286","P03190","UP000153037","Epstein-Barr virus","Herpesviridae",1.08,3.06748466257669
"287","P03191","UP000153037","Epstein-Barr virus","Herpesviridae",3.27272727272727,4.58015267175572
"288","P03192","UP000153037","Epstein-Barr virus","Herpesviridae",1,2.3121387283237
"289","P03193","UP000153037","Epstein-Barr virus","Herpesviridae",1.11764705882353,1.96987253765933
"290","P03195","UP000153037","Epstein-Barr virus","Herpesviridae",1,1.49812734082397
"291","P03196","UP000153037","Epstein-Barr virus","Herpesviridae",1.55555555555556,9.89010989010989
