"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|D5SGZ8|AAP_AAV2S",2,5,"UP000180764",204
"146","tr|Q5Y0R0|Q5Y0R0_9ALPH",0,1,"UP000137988",438
"147","tr|Q5Y0R0|Q5Y0R0_9ALPH",1,7,"UP000137988",438
"148","tr|Q5Y0R0|Q5Y0R0_9ALPH",2,5,"UP000137988",438
"149","tr|Q5Y0R1|Q5Y0R1_9ALPH",1,1,"UP000137988",484
"150","tr|Q5Y0R1|Q5Y0R1_9ALPH",2,10,"UP000137988",484
"151","tr|Q5Y0R2|Q5Y0R2_9ALPH",2,4,"UP000137988",325
"152","tr|Q5Y0R3|Q5Y0R3_9ALPH",0,3,"UP000137988",975
"153","tr|Q5Y0R3|Q5Y0R3_9ALPH",1,10,"UP000137988",975
"154","tr|Q5Y0R3|Q5Y0R3_9ALPH",2,23,"UP000137988",975
"155","tr|Q5Y0R3|Q5Y0R3_9ALPH",3,1,"UP000137988",975
"156","tr|Q5Y0R4|Q5Y0R4_9ALPH",0,1,"UP000137988",459
"157","tr|Q5Y0R4|Q5Y0R4_9ALPH",1,4,"UP000137988",459
"158","tr|Q5Y0R4|Q5Y0R4_9ALPH",2,13,"UP000137988",459
"159","tr|Q5Y0R5|Q5Y0R5_9ALPH",0,1,"UP000137988",1217
"160","tr|Q5Y0R5|Q5Y0R5_9ALPH",1,25,"UP000137988",1217
"161","tr|Q5Y0R5|Q5Y0R5_9ALPH",2,37,"UP000137988",1217
"162","tr|Q5Y0R6|Q5Y0R6_9ALPH",0,2,"UP000137988",3070
"163","tr|Q5Y0R6|Q5Y0R6_9ALPH",1,61,"UP000137988",3070
"164","tr|Q5Y0R6|Q5Y0R6_9ALPH",2,67,"UP000137988",3070
"165","tr|Q5Y0R6|Q5Y0R6_9ALPH",3,3,"UP000137988",3070
"166","tr|Q5Y0R7|Q5Y0R7_9ALPH",1,2,"UP000137988",114
"167","tr|Q5Y0R7|Q5Y0R7_9ALPH",2,20,"UP000137988",114
"168","tr|Q5Y0R8|Q5Y0R8_9ALPH",0,1,"UP000137988",266
"169","tr|Q5Y0R8|Q5Y0R8_9ALPH",1,5,"UP000137988",266
"170","tr|Q5Y0R8|Q5Y0R8_9ALPH",2,10,"UP000137988",266
"171","tr|Q5Y0R9|Q5Y0R9_9ALPH",1,4,"UP000137988",135
"172","tr|Q5Y0R9|Q5Y0R9_9ALPH",2,22,"UP000137988",135
"173","tr|Q5Y0S0|Q5Y0S0_9ALPH",1,16,"UP000137988",590
"174","tr|Q5Y0S0|Q5Y0S0_9ALPH",2,8,"UP000137988",590
"175","tr|Q5Y0S1|Q5Y0S1_9ALPH",2,4,"UP000137988",304
"176","tr|Q5Y0S2|Q5Y0S2_9ALPH",1,20,"UP000137988",1226
"177","tr|Q5Y0S2|Q5Y0S2_9ALPH",2,36,"UP000137988",1226
"178","tr|Q5Y0S3|Q5Y0S3_9ALPH",1,18,"UP000137988",1196
"179","tr|Q5Y0S3|Q5Y0S3_9ALPH",2,80,"UP000137988",1196
"180","tr|Q5Y0S3|Q5Y0S3_9ALPH",3,4,"UP000137988",1196
"181","tr|Q5Y0S4|Q5Y0S4_9ALPH",0,3,"UP000137988",784
"182","tr|Q5Y0S4|Q5Y0S4_9ALPH",1,12,"UP000137988",784
"183","tr|Q5Y0S4|Q5Y0S4_9ALPH",2,23,"UP000137988",784
"184","tr|Q5Y0S5|Q5Y0S5_9ALPH",0,4,"UP000137988",885
"185","tr|Q5Y0S5|Q5Y0S5_9ALPH",1,14,"UP000137988",885
"186","tr|Q5Y0S5|Q5Y0S5_9ALPH",2,31,"UP000137988",885
"187","tr|Q5Y0S6|Q5Y0S6_9ALPH",1,3,"UP000137988",292
"188","tr|Q5Y0S6|Q5Y0S6_9ALPH",2,5,"UP000137988",292
"189","tr|Q5Y0S7|Q5Y0S7_9ALPH",1,3,"UP000137988",594
"190","tr|Q5Y0S7|Q5Y0S7_9ALPH",2,17,"UP000137988",594
"191","tr|Q5Y0S7|Q5Y0S7_9ALPH",3,1,"UP000137988",594
"192","tr|Q5Y0S8|Q5Y0S8_9ALPH",0,4,"UP000137988",577
"193","tr|Q5Y0S8|Q5Y0S8_9ALPH",1,31,"UP000137988",577
"194","tr|Q5Y0S8|Q5Y0S8_9ALPH",2,34,"UP000137988",577
"195","tr|Q5Y0T0|Q5Y0T0_9ALPH",0,4,"UP000137988",378
"196","tr|Q5Y0T0|Q5Y0T0_9ALPH",1,17,"UP000137988",378
"197","tr|Q5Y0T0|Q5Y0T0_9ALPH",2,14,"UP000137988",378
"198","tr|Q5Y0T0|Q5Y0T0_9ALPH",3,5,"UP000137988",378
"199","tr|Q5Y0T1|Q5Y0T1_9ALPH",1,7,"UP000137988",863
"200","tr|Q5Y0T1|Q5Y0T1_9ALPH",2,14,"UP000137988",863
"201","tr|Q5Y0T2|Q5Y0T2_9ALPH",1,1,"UP000137988",526
"202","tr|Q5Y0T2|Q5Y0T2_9ALPH",2,16,"UP000137988",526
"203","tr|Q5Y0T6|Q5Y0T6_9ALPH",0,12,"UP000137988",703
"204","tr|Q5Y0T6|Q5Y0T6_9ALPH",1,46,"UP000137988",703
"205","tr|Q5Y0T6|Q5Y0T6_9ALPH",2,20,"UP000137988",703
"206","tr|Q5Y0T7|Q5Y0T7_9ALPH",0,2,"UP000137988",362
"207","tr|Q5Y0T7|Q5Y0T7_9ALPH",1,4,"UP000137988",362
"208","tr|Q5Y0T7|Q5Y0T7_9ALPH",2,12,"UP000137988",362
"209","tr|Q5Y0T8|Q5Y0T8_9ALPH",1,15,"UP000137988",735
"210","tr|Q5Y0T8|Q5Y0T8_9ALPH",2,26,"UP000137988",735
"211","tr|Q5Y0T9|Q5Y0T9_9ALPH",1,8,"UP000137988",214
"212","tr|Q5Y0T9|Q5Y0T9_9ALPH",2,15,"UP000137988",214
"213","tr|Q5Y0T9|Q5Y0T9_9ALPH",3,1,"UP000137988",214
"214","tr|Q5Y0U0|Q5Y0U0_9ALPH",1,7,"UP000137988",514
"215","tr|Q5Y0U0|Q5Y0U0_9ALPH",2,15,"UP000137988",514
"216","tr|Q5Y0U0|Q5Y0U0_9ALPH",3,2,"UP000137988",514
"217","tr|Q5Y0U1|Q5Y0U1_9ALPH",1,9,"UP000137988",615
"218","tr|Q5Y0U1|Q5Y0U1_9ALPH",2,18,"UP000137988",615
"219","tr|Q5Y0U3|Q5Y0U3_9ALPH",0,1,"UP000137988",450
"220","tr|Q5Y0U3|Q5Y0U3_9ALPH",1,8,"UP000137988",450
"221","tr|Q5Y0U3|Q5Y0U3_9ALPH",2,4,"UP000137988",450
"222","tr|Q5Y0U4|Q5Y0U4_9ALPH",0,1,"UP000137988",879
"223","tr|Q5Y0U4|Q5Y0U4_9ALPH",1,16,"UP000137988",879
"224","tr|Q5Y0U4|Q5Y0U4_9ALPH",2,18,"UP000137988",879
"225","tr|Q5Y0U4|Q5Y0U4_9ALPH",3,1,"UP000137988",879
"226","tr|Q5Y0U5|Q5Y0U5_9ALPH",0,1,"UP000137988",758
"227","tr|Q5Y0U5|Q5Y0U5_9ALPH",1,43,"UP000137988",758
"228","tr|Q5Y0U5|Q5Y0U5_9ALPH",2,17,"UP000137988",758
"229","tr|Q5Y0U6|Q5Y0U6_9ALPH",1,9,"UP000137988",296
"230","tr|Q5Y0U6|Q5Y0U6_9ALPH",2,16,"UP000137988",296
"231","tr|Q5Y0U7|Q5Y0U7_9ALPH",0,1,"UP000137988",678
"232","tr|Q5Y0U7|Q5Y0U7_9ALPH",1,14,"UP000137988",678
"233","tr|Q5Y0U7|Q5Y0U7_9ALPH",2,9,"UP000137988",678
"234","tr|Q5Y0U8|Q5Y0U8_9ALPH",1,16,"UP000137988",875
"235","tr|Q5Y0U8|Q5Y0U8_9ALPH",2,16,"UP000137988",875
"236","tr|Q5Y0U9|Q5Y0U9_9ALPH",1,2,"UP000137988",204
"237","tr|Q5Y0U9|Q5Y0U9_9ALPH",2,5,"UP000137988",204
"238","tr|Q5Y0V1|Q5Y0V1_9ALPH",2,4,"UP000137988",251
"239","tr|Q5Y0V1|Q5Y0V1_9ALPH",3,2,"UP000137988",251
"240","tr|Q5Y0V2|Q5Y0V2_9ALPH",1,4,"UP000137988",232
"241","tr|Q5Y0V2|Q5Y0V2_9ALPH",2,11,"UP000137988",232
"242","tr|Q69368|Q69368_9ALPH",1,8,"UP000137988",106
"243","tr|Q69368|Q69368_9ALPH",2,11,"UP000137988",106
"244","tr|Q805V3|Q805V3_9ALPH",1,2,"UP000137988",317
"245","tr|Q805V3|Q805V3_9ALPH",2,20,"UP000137988",317
"246","tr|Q805V4|Q805V4_9ALPH",0,1,"UP000137988",1377
"247","tr|Q805V4|Q805V4_9ALPH",1,17,"UP000137988",1377
"248","tr|Q805V4|Q805V4_9ALPH",2,62,"UP000137988",1377
"249","tr|Q805V5|Q805V5_9ALPH",1,7,"UP000137988",225
"250","tr|Q805V5|Q805V5_9ALPH",2,5,"UP000137988",225
"251","sp|P11211|NCAP_CHAV",1,3,"UP000008448",422
"252","sp|P11211|NCAP_CHAV",2,4,"UP000008448",422
"253","sp|P13179|L_CHAV",1,5,"UP000008448",2092
"254","sp|P13179|L_CHAV",2,27,"UP000008448",2092
"255","sp|P13179|L_CHAV",3,6,"UP000008448",2092
"256","sp|P13180|GLYCO_CHAV",1,3,"UP000008448",530
"257","sp|P13180|GLYCO_CHAV",2,8,"UP000008448",530
"258","sp|Q9WH76|MATRX_CHAV",2,6,"UP000008448",229
"259","sp|Q9WH76|MATRX_CHAV",3,1,"UP000008448",229
"260","sp|P0DOK1|POLSF_CHIKS",1,7,"UP000000569",824
"261","sp|P0DOK1|POLSF_CHIKS",2,32,"UP000000569",824
"262","sp|P0DOK1|POLSF_CHIKS",3,2,"UP000000569",824
"263","sp|Q8JUX5|POLS_CHIKS",1,17,"UP000000569",1248
"264","sp|Q8JUX5|POLS_CHIKS",2,49,"UP000000569",1248
"265","sp|Q8JUX5|POLS_CHIKS",3,2,"UP000000569",1248
"266","sp|Q8JUX6|POLN_CHIKS",1,9,"UP000000569",2474
"267","sp|Q8JUX6|POLN_CHIKS",2,81,"UP000000569",2474
"268","sp|Q8JUX6|POLN_CHIKS",3,8,"UP000000569",2474
"269","sp|B8XTP8|POLG_COSAA",0,1,"UP000029753",2124
"270","sp|B8XTP8|POLG_COSAA",1,14,"UP000029753",2124
"271","sp|B8XTP8|POLG_COSAA",2,46,"UP000029753",2124
"272","sp|B8XTP8|POLG_COSAA",3,4,"UP000029753",2124
"273","sp|P17474|RP132_CWPXB",2,18,"UP000152733",1164
"274","sp|P17474|RP132_CWPXB",3,2,"UP000152733",1164
"275","sp|P42927|SPI1_CWPXB",2,1,"UP000152733",355
"276","sp|Q04523|IL1BP_CWPXB",2,4,"UP000152733",326
"277","sp|Q8QMN3|KBTB2_CWPXB",1,1,"UP000152733",557
"278","sp|Q8QMN3|KBTB2_CWPXB",2,22,"UP000152733",557
"279","sp|Q8QMP8|POXIN_CWPXB",1,3,"UP000152733",505
"280","sp|Q8QMP8|POXIN_CWPXB",2,9,"UP000152733",505
"281","sp|Q8QMP8|POXIN_CWPXB",3,2,"UP000152733",505
"282","sp|Q8QMQ2|KBTB1_CWPXB",1,1,"UP000152733",563
"283","sp|Q8QMQ2|KBTB1_CWPXB",2,10,"UP000152733",563
"284","sp|Q8QMQ7|KTHY_CWPXB",2,1,"UP000152733",204
"285","sp|Q8QMS5|A28_CWPXB",2,8,"UP000152733",146
"286","sp|Q8QMT5|A18_CWPXB",0,1,"UP000152733",492
"287","sp|Q8QMT5|A18_CWPXB",1,2,"UP000152733",492
"288","sp|Q8QMT5|A18_CWPXB",2,2,"UP000152733",492
"289","sp|Q8QMV9|MCEL_CWPXB",2,1,"UP000152733",844
"290","sp|Q8QMY9|GLRX1_CWPXB",1,2,"UP000152733",108
"291","sp|Q8QMY9|GLRX1_CWPXB",2,2,"UP000152733",108
"292","sp|Q8QMZ9|PAP1_CWPXB",2,7,"UP000152733",479
"293","sp|Q8QMZ9|PAP1_CWPXB",3,3,"UP000152733",479
"294","sp|Q8QN36|CP77_CWPXB",1,6,"UP000152733",668
"295","sp|Q8QN36|CP77_CWPXB",2,36,"UP000152733",668
"296","sp|Q8QN36|CP77_CWPXB",3,1,"UP000152733",668
"297","sp|Q8QN38|P28_CWPXB",2,6,"UP000152733",242
"298","sp|Q8QN38|P28_CWPXB",3,1,"UP000152733",242
"299","sp|Q91M93|SODL_CWPXB",0,1,"UP000152733",125
"300","sp|Q91M93|SODL_CWPXB",1,3,"UP000152733",125
"301","sp|Q91M93|SODL_CWPXB",2,4,"UP000152733",125
"302","tr|Q77DR5|Q77DR5_CWPXB",1,2,"UP000152733",320
"303","tr|Q77DR5|Q77DR5_CWPXB",2,10,"UP000152733",320
"304","tr|Q77DR8|Q77DR8_CWPXB",2,5,"UP000152733",186
"305","tr|Q77DR8|Q77DR8_CWPXB",3,1,"UP000152733",186
"306","tr|Q77DS1|Q77DS1_CWPXB",1,2,"UP000152733",224
"307","tr|Q77DS1|Q77DS1_CWPXB",2,5,"UP000152733",224
"308","tr|Q77DS5|Q77DS5_CWPXB",2,3,"UP000152733",94
"309","tr|Q77DS7|Q77DS7_CWPXB",2,2,"UP000152733",90
"310","tr|Q77DS7|Q77DS7_CWPXB",3,1,"UP000152733",90
"311","tr|Q77DS9|Q77DS9_CWPXB",1,1,"UP000152733",164
"312","tr|Q77DS9|Q77DS9_CWPXB",2,2,"UP000152733",164
"313","tr|Q77DS9|Q77DS9_CWPXB",3,1,"UP000152733",164
"314","tr|Q77DT0|Q77DT0_CWPXB",2,1,"UP000152733",287
"315","tr|Q77DT5|Q77DT5_CWPXB",1,2,"UP000152733",63
"316","tr|Q77DT5|Q77DT5_CWPXB",2,7,"UP000152733",63
"317","tr|Q77DT6|Q77DT6_CWPXB",1,2,"UP000152733",79
"318","tr|Q77DT6|Q77DT6_CWPXB",2,2,"UP000152733",79
"319","tr|Q77DT9|Q77DT9_CWPXB",1,1,"UP000152733",190
"320","tr|Q77DT9|Q77DT9_CWPXB",2,2,"UP000152733",190
"321","tr|Q77DU0|Q77DU0_CWPXB",2,2,"UP000152733",88
"322","tr|Q77DU1|Q77DU1_CWPXB",2,2,"UP000152733",373
"323","tr|Q77DU2|Q77DU2_CWPXB",1,1,"UP000152733",63
"324","tr|Q77DU2|Q77DU2_CWPXB",2,4,"UP000152733",63
"325","tr|Q77DU2|Q77DU2_CWPXB",3,1,"UP000152733",63
"326","tr|Q77DU7|Q77DU7_CWPXB",1,1,"UP000152733",160
"327","tr|Q7THV5|Q7THV5_CWPXB",2,3,"UP000152733",80
"328","tr|Q85308|Q85308_CWPXB",2,9,"UP000152733",355
"329","tr|Q8QHN9|Q8QHN9_CWPXB",1,6,"UP000152733",672
"330","tr|Q8QHN9|Q8QHN9_CWPXB",2,23,"UP000152733",672
"331","tr|Q8QHN9|Q8QHN9_CWPXB",3,1,"UP000152733",672
"332","tr|Q8QHS8|Q8QHS8_CWPXB",1,3,"UP000152733",619
"333","tr|Q8QHS8|Q8QHS8_CWPXB",2,3,"UP000152733",619
"334","tr|Q8QMM8|Q8QMM8_CWPXB",1,1,"UP000152733",579
"335","tr|Q8QMM8|Q8QMM8_CWPXB",2,4,"UP000152733",579
"336","tr|Q8QMM9|Q8QMM9_CWPXB",2,16,"UP000152733",1919
"337","tr|Q8QMM9|Q8QMM9_CWPXB",3,6,"UP000152733",1919
"338","tr|Q8QMN4|Q8QMN4_CWPXB",1,1,"UP000152733",800
"339","tr|Q8QMN4|Q8QMN4_CWPXB",2,19,"UP000152733",800
"340","tr|Q8QMN4|Q8QMN4_CWPXB",3,1,"UP000152733",800
"341","tr|Q8QMN5|Q8QMN5_CWPXB",2,6,"UP000152733",366
"342","tr|Q8QMN6|Q8QMN6_CWPXB",1,3,"UP000152733",574
"343","tr|Q8QMN6|Q8QMN6_CWPXB",2,8,"UP000152733",574
"344","tr|Q8QMN8|Q8QMN8_CWPXB",2,5,"UP000152733",149
"345","tr|Q8QMN9|Q8QMN9_CWPXB",2,5,"UP000152733",285
"346","tr|Q8QMP1|Q8QMP1_CWPXB",2,2,"UP000152733",501
"347","tr|Q8QMP2|Q8QMP2_CWPXB",1,2,"UP000152733",225
"348","tr|Q8QMP2|Q8QMP2_CWPXB",2,5,"UP000152733",225
