"","query_seqname","mismatches","count","Proteome ID","PLength"
"1","sp|O91464|POLG_AIVA8",3,4,"UP000119554",2432
"27","tr|Q5Y0P9|Q5Y0P9_9ALPH",3,18,"UP000137988",1053
"28","tr|Q5Y0Q0|Q5Y0Q0_9ALPH",2,1,"UP000137988",228
"29","tr|Q5Y0Q0|Q5Y0Q0_9ALPH",3,2,"UP000137988",228
"30","tr|Q5Y0Q1|Q5Y0Q1_9ALPH",3,1,"UP000137988",367
"31","tr|Q5Y0Q3|Q5Y0Q3_9ALPH",2,20,"UP000137988",275
"32","tr|Q5Y0Q4|Q5Y0Q4_9ALPH",3,1,"UP000137988",488
"33","tr|Q5Y0Q5|Q5Y0Q5_9ALPH",3,9,"UP000137988",674
"34","tr|Q5Y0Q6|Q5Y0Q6_9ALPH",2,4,"UP000137988",680
"35","tr|Q5Y0Q6|Q5Y0Q6_9ALPH",3,7,"UP000137988",680
"36","tr|Q5Y0Q9|Q5Y0Q9_9ALPH",3,15,"UP000137988",381
"37","tr|Q5Y0R0|Q5Y0R0_9ALPH",3,3,"UP000137988",438
"38","tr|Q5Y0R1|Q5Y0R1_9ALPH",3,1,"UP000137988",484
"39","tr|Q5Y0R4|Q5Y0R4_9ALPH",3,4,"UP000137988",459
"40","tr|Q5Y0R5|Q5Y0R5_9ALPH",2,1,"UP000137988",1217
"41","tr|Q5Y0R5|Q5Y0R5_9ALPH",3,9,"UP000137988",1217
"42","tr|Q5Y0R6|Q5Y0R6_9ALPH",2,1,"UP000137988",3070
"43","tr|Q5Y0R6|Q5Y0R6_9ALPH",3,64,"UP000137988",3070
"44","tr|Q5Y0R8|Q5Y0R8_9ALPH",3,2,"UP000137988",266
"45","tr|Q5Y0S0|Q5Y0S0_9ALPH",3,22,"UP000137988",590
"46","tr|Q5Y0S2|Q5Y0S2_9ALPH",1,2,"UP000137988",1226
"47","tr|Q5Y0S2|Q5Y0S2_9ALPH",2,1,"UP000137988",1226
"48","tr|Q5Y0S2|Q5Y0S2_9ALPH",3,11,"UP000137988",1226
"49","tr|Q5Y0S3|Q5Y0S3_9ALPH",3,8,"UP000137988",1196
"50","tr|Q5Y0S4|Q5Y0S4_9ALPH",3,9,"UP000137988",784
"51","tr|Q5Y0S5|Q5Y0S5_9ALPH",2,1,"UP000137988",885
"52","tr|Q5Y0S5|Q5Y0S5_9ALPH",3,34,"UP000137988",885
"53","tr|Q5Y0S6|Q5Y0S6_9ALPH",3,20,"UP000137988",292
"54","tr|Q5Y0S7|Q5Y0S7_9ALPH",3,20,"UP000137988",594
"55","tr|Q5Y0S8|Q5Y0S8_9ALPH",2,7,"UP000137988",577
"56","tr|Q5Y0S8|Q5Y0S8_9ALPH",3,38,"UP000137988",577
"57","tr|Q5Y0T0|Q5Y0T0_9ALPH",3,19,"UP000137988",378
"58","tr|Q5Y0T1|Q5Y0T1_9ALPH",3,12,"UP000137988",863
"59","tr|Q5Y0T2|Q5Y0T2_9ALPH",3,1,"UP000137988",526
"60","tr|Q5Y0T6|Q5Y0T6_9ALPH",2,120,"UP000137988",703
"61","tr|Q5Y0T6|Q5Y0T6_9ALPH",3,155,"UP000137988",703
"62","tr|Q5Y0T7|Q5Y0T7_9ALPH",3,2,"UP000137988",362
"63","tr|Q5Y0T8|Q5Y0T8_9ALPH",3,3,"UP000137988",735
"64","tr|Q5Y0T9|Q5Y0T9_9ALPH",2,1,"UP000137988",214
"65","tr|Q5Y0T9|Q5Y0T9_9ALPH",3,1,"UP000137988",214
"66","tr|Q5Y0U1|Q5Y0U1_9ALPH",3,5,"UP000137988",615
"67","tr|Q5Y0U2|Q5Y0U2_9ALPH",3,2,"UP000137988",87
"68","tr|Q5Y0U4|Q5Y0U4_9ALPH",2,1,"UP000137988",879
"69","tr|Q5Y0U4|Q5Y0U4_9ALPH",3,6,"UP000137988",879
"70","tr|Q5Y0U5|Q5Y0U5_9ALPH",2,8,"UP000137988",758
"71","tr|Q5Y0U5|Q5Y0U5_9ALPH",3,60,"UP000137988",758
"72","tr|Q5Y0U7|Q5Y0U7_9ALPH",3,7,"UP000137988",678
"73","tr|Q5Y0U8|Q5Y0U8_9ALPH",3,11,"UP000137988",875
"74","tr|Q5Y0V1|Q5Y0V1_9ALPH",3,1,"UP000137988",251
"75","tr|Q69368|Q69368_9ALPH",3,4,"UP000137988",106
"76","tr|Q805V4|Q805V4_9ALPH",3,11,"UP000137988",1377
"77","tr|Q805V5|Q805V5_9ALPH",3,3,"UP000137988",225
"78","sp|P11211|NCAP_CHAV",3,1,"UP000008448",422
"79","sp|P0DOK1|POLSF_CHIKS",3,1,"UP000000569",824
"80","sp|Q8JUX5|POLS_CHIKS",3,1,"UP000000569",1248
"81","sp|B8XTP8|POLG_COSAA",3,4,"UP000029753",2124
"82","sp|Q8QMV9|MCEL_CWPXB",3,1,"UP000152733",844
"83","sp|Q8QN36|CP77_CWPXB",3,2,"UP000152733",668
"84","sp|Q8QN38|P28_CWPXB",3,2,"UP000152733",242
"85","tr|Q77DU2|Q77DU2_CWPXB",3,1,"UP000152733",63
"86","tr|Q8QMN4|Q8QMN4_CWPXB",3,1,"UP000152733",800
"87","tr|Q8QMP9|Q8QMP9_CWPXB",3,2,"UP000152733",299
"88","tr|Q8QMQ5|Q8QMQ5_CWPXB",2,1,"UP000152733",554
"89","tr|Q8QMR0|Q8QMR0_CWPXB",0,1,"UP000152733",345
"90","tr|Q8QMS8|Q8QMS8_CWPXB",0,89,"UP000152733",192
"91","tr|Q8QMS8|Q8QMS8_CWPXB",1,3,"UP000152733",192
"92","tr|Q8QMS8|Q8QMS8_CWPXB",2,1,"UP000152733",192
"93","tr|Q8QMS8|Q8QMS8_CWPXB",3,2,"UP000152733",192
"94","tr|Q8QMT9|Q8QMT9_CWPXB",3,2,"UP000152733",318
"95","tr|Q8QMW7|Q8QMW7_CWPXB",3,1,"UP000152733",1286
"96","tr|Q8QMY6|Q8QMY6_CWPXB",0,1,"UP000152733",771
"97","tr|Q8QMY6|Q8QMY6_CWPXB",1,3,"UP000152733",771
"98","tr|Q8QMY6|Q8QMY6_CWPXB",2,2,"UP000152733",771
"99","tr|Q8QMY6|Q8QMY6_CWPXB",3,1,"UP000152733",771
"100","tr|Q8QN14|Q8QN14_CWPXB",0,3,"UP000152733",333
"101","tr|Q8QN14|Q8QN14_CWPXB",2,3,"UP000152733",333
"102","tr|Q8QN14|Q8QN14_CWPXB",3,5,"UP000152733",333
"103","tr|Q8QN19|Q8QN19_CWPXB",3,1,"UP000152733",276
"104","tr|Q8QN45|Q8QN45_CWPXB",3,1,"UP000152733",764
"105","tr|Q8QN50|Q8QN50_CWPXB",3,2,"UP000152733",658
"106","sp|Q6TQR6|L_CCHFI",3,4,"UP000008767",3945
"107","sp|P17763|POLG_DEN1W",3,2,"UP000002500",3392
"108","tr|D6PT88|D6PT88_9ORTO",3,1,"UP000181622",270
"109","tr|B2XY07|B2XY07_DUVV",3,1,"UP000117552",533
"110","sp|Q4QXJ8|POLN_EEEVF",3,1,"UP000110644",2494
"111","sp|Q05318|L_EBOZM",3,2,"UP000007209",2212
"112","sp|O73556|POLG_HPE2W",3,1,"UP000000670",2179
"113","sp|Q66765|POLG_EMCVR",3,4,"UP000002319",2292
"114","sp|P03177|KITH_EBVB9",3,1,"UP000153037",607
"115","sp|P03179|MTP_EBVB9",2,3,"UP000153037",1318
"116","sp|P03179|MTP_EBVB9",3,5,"UP000153037",1318
"117","sp|P03180|IL10H_EBVB9",1,1,"UP000153037",170
"118","sp|P03180|IL10H_EBVB9",2,1,"UP000153037",170
"119","sp|P03180|IL10H_EBVB9",3,1,"UP000153037",170
"120","sp|P03181|BHLF1_EBVB9",3,1,"UP000153037",660
"121","sp|P03186|LTP_EBVB9",3,10,"UP000153037",3149
"122","sp|P03187|TRX1_EBVB9",2,2,"UP000153037",364
"123","sp|P03187|TRX1_EBVB9",3,7,"UP000153037",364
"124","sp|P03188|GB_EBVB9",3,1,"UP000153037",857
"125","sp|P03189|ITP_EBVB9",3,19,"UP000153037",1239
"126","sp|P03203|EBNA4_EBVB9",3,2,"UP000153037",938
"127","sp|P03204|EBNA6_EBVB9",2,10,"UP000153037",992
"128","sp|P03204|EBNA6_EBVB9",3,23,"UP000153037",992
"129","sp|P03207|BRRF1_EBVB9",3,1,"UP000153037",310
"130","sp|P03210|BRRF2_EBVB9",3,5,"UP000153037",537
"131","sp|P03211|EBNA1_EBVB9",0,6,"UP000153037",641
"132","sp|P03211|EBNA1_EBVB9",1,286,"UP000153037",641
"133","sp|P03211|EBNA1_EBVB9",2,745,"UP000153037",641
"134","sp|P03211|EBNA1_EBVB9",3,18,"UP000153037",641
"135","sp|P03213|PORTL_EBVB9",3,11,"UP000153037",613
"136","sp|P03217|AN_EBVB9",3,2,"UP000153037",470
"137","sp|P03222|CVC1_EBVB9",3,1,"UP000153037",507
"138","sp|P03225|BDLF2_EBVB9",3,2,"UP000153037",420
"139","sp|P03226|MCP_EBVB9",3,2,"UP000153037",1381
"140","sp|P03227|DNBI_EBVB9",3,2,"UP000153037",1128
"141","sp|P03230|LMP1_EBVB9",3,1,"UP000153037",386
"142","sp|P03232|UL24_EBVB9",3,1,"UP000153037",248
"143","sp|P0C727|LF3_EBVB9",3,2,"UP000153037",924
"144","sp|P0CK53|CEP2_EBVB9",3,7,"UP000153037",336
"145","sp|P12977|EBNA3_EBVB9",3,1,"UP000153037",944
"146","sp|P12978|EBNA2_EBVB9",0,7,"UP000153037",487
"147","sp|P12978|EBNA2_EBVB9",1,26,"UP000153037",487
"148","sp|P12978|EBNA2_EBVB9",2,32,"UP000153037",487
"149","sp|P13285|LMP2_EBVB9",3,10,"UP000153037",497
"150","sp|P13288|KR2_EBVB9",3,1,"UP000153037",429
"151","sp|P14347|BFRF2_EBVB9",3,1,"UP000153037",591
"152","sp|P14348|SCP_EBVB9",3,5,"UP000153037",176
"153","sp|P25939|TRM1_EBVB9",3,2,"UP000153037",685
"154","sp|Q8AZJ5|LF1_EBVB9",3,1,"UP000153037",469
"155","sp|Q9Q2P0|RPMS1_EBVB9",3,1,"UP000153037",103
"156","tr|Q2MG96|Q2MG96_EBVB9",2,1,"UP000153037",153
"157","tr|Q2MG96|Q2MG96_EBVB9",3,1,"UP000153037",153
"158","tr|Q8AZJ4|Q8AZJ4_EBVB9",3,4,"UP000153037",471
"159","tr|Q8AZK1|Q8AZK1_EBVB9",3,2,"UP000153037",383
"160","sp|A4UHQ1|GLYCO_EBLV1",3,1,"UP000008926",524
"161","sp|A4UHQ2|L_EBLV1",3,1,"UP000008926",2127
"162","sp|P23456|L_HANTV",3,1,"UP000008627",2151
"163","sp|O89339|NCAP_HENDH",3,1,"UP000008771",532
"164","sp|P08617|POLG_HAVHM",3,3,"UP000006724",2227
"165","sp|Q69027|X_HBVCJ",3,2,"UP000008591",154
"166","sp|Q69028|DPOL_HBVCJ",3,3,"UP000008591",843
"167","sp|P27958|POLG_HCV77",2,1,"UP000000518",3011
"168","sp|P27958|POLG_HCV77",3,11,"UP000000518",3011
"169","sp|P0C6L3|SHDAG_HDVD3",3,1,"UP000006675",195
"170","sp|P29996|LHDAG_HDVD3",3,1,"UP000006675",214
"171","sp|Q81862|POLN_HEVCH",3,6,"UP000006705",1693
"172","sp|Q81871|CAPSD_HEVCH",3,4,"UP000006705",660
"173","tr|Q0GNM8|Q0GNM8_HSPV",3,1,"UP000111173",1920
"174","tr|Q0GNN0|Q0GNN0_HSPV",3,1,"UP000111173",357
"175","tr|Q0GNQ1|Q0GNQ1_HSPV",3,2,"UP000111173",300
"176","tr|Q0GNQ3|Q0GNQ3_HSPV",2,2,"UP000111173",62
"177","tr|Q0GNQ3|Q0GNQ3_HSPV",3,2,"UP000111173",62
"178","tr|Q0GNR0|Q0GNR0_HSPV",2,1,"UP000111173",552
"179","tr|Q0GNR8|Q0GNR8_HSPV",3,6,"UP000111173",133
"180","tr|Q0GNT5|Q0GNT5_HSPV",2,1,"UP000111173",501
"181","tr|Q0GNT5|Q0GNT5_HSPV",3,2,"UP000111173",501
"182","tr|Q0GNT6|Q0GNT6_HSPV",3,1,"UP000111173",725
"183","tr|Q0GNV4|Q0GNV4_HSPV",3,2,"UP000111173",318
"184","tr|Q0GNY1|Q0GNY1_HSPV",3,3,"UP000111173",211
"185","tr|Q0GP11|Q0GP11_HSPV",1,3,"UP000111173",96
"186","tr|Q0GP13|Q0GP13_HSPV",1,5,"UP000111173",440
"187","tr|Q0GP13|Q0GP13_HSPV",2,1,"UP000111173",440
"188","tr|Q0GP14|Q0GP14_HSPV",3,2,"UP000111173",80
"189","tr|Q0GP34|Q0GP34_HSPV",3,3,"UP000111173",73
"190","tr|Q0GP42|Q0GP42_HSPV",3,1,"UP000111173",74
"191","tr|Q0GP44|Q0GP44_HSPV",0,3,"UP000111173",319
"192","tr|Q0GP44|Q0GP44_HSPV",2,3,"UP000111173",319
"193","tr|Q0GP44|Q0GP44_HSPV",3,5,"UP000111173",319
"194","tr|Q0GP49|Q0GP49_HSPV",3,1,"UP000111173",229
"195","tr|Q0GP55|Q0GP55_HSPV",3,6,"UP000111173",159
"196","tr|Q0GP67|Q0GP67_HSPV",3,1,"UP000111173",155
"197","tr|Q0GP71|Q0GP71_HSPV",3,1,"UP000111173",63
"198","tr|Q0GP75|Q0GP75_HSPV",3,1,"UP000111173",142
"199","tr|Q0GP88|Q0GP88_HSPV",3,2,"UP000111173",437
"200","sp|P03261|DPOL_ADE02",3,4,"UP000008167",1198
"201","sp|P03262|PKG3_ADE02",3,7,"UP000008167",415
"202","sp|P03269|TERM_ADE02",2,1,"UP000008167",671
"203","sp|P03269|TERM_ADE02",3,2,"UP000008167",671
"204","sp|P03276|CAPSP_ADE02",3,4,"UP000008167",571
"205","sp|P03277|CAPSH_ADE02",0,3,"UP000008167",968
"206","sp|P03277|CAPSH_ADE02",1,47,"UP000008167",968
"207","sp|P03277|CAPSH_ADE02",2,12,"UP000008167",968
"208","sp|P03277|CAPSH_ADE02",3,26,"UP000008167",968
"209","sp|P03289|Y112_ADE02",2,1,"UP000008167",112
"210","sp|P03289|Y112_ADE02",3,2,"UP000008167",112
"211","sp|P03290|Y115_ADE02",3,1,"UP000008167",115
"212","sp|P03293|Y137_ADE02",2,3,"UP000008167",137
"213","sp|P03294|Y121_ADE02",2,2,"UP000008167",121
"214","sp|P0DJX2|UXP_ADE02",3,2,"UP000008167",217
"215","sp|P15133|E3RDA_ADE02",3,2,"UP000008167",91
"216","sp|P24932|SHUT_ADE02",2,2,"UP000008167",805
"217","sp|P24932|SHUT_ADE02",3,14,"UP000008167",805
"218","sp|P24939|SF33K_ADE02",3,1,"UP000008167",228
"219","sp|O12792|CAPSD_HASV1",3,2,"UP000001650",786
"220","sp|P0C6U2|R1A_CVH22",3,6,"UP000006716",4085
"221","sp|P0C6X1|R1AB_CVH22",3,13,"UP000006716",6758
"222","sp|P15423|SPIKE_CVH22",3,2,"UP000006716",1173
"223","sp|F5H8R6|UL96_HCMVM",3,1,"UP000000938",127
"224","sp|F5H991|US26_HCMVM",3,2,"UP000000938",603
"225","sp|F5H9F9|UL88_HCMVM",2,4,"UP000000938",429
"226","sp|F5H9F9|UL88_HCMVM",3,32,"UP000000938",429
"227","sp|F5HAC7|CEP2_HCMVM",3,1,"UP000000938",345
"228","sp|F5HAZ3|US23_HCMVM",2,1,"UP000000938",592
"229","sp|F5HAZ3|US23_HCMVM",3,1,"UP000000938",592
"230","sp|F5HB40|UL84_HCMVM",2,2,"UP000000938",587
"231","sp|F5HB40|UL84_HCMVM",3,25,"UP000000938",587
"232","sp|F5HBR4|PORTL_HCMVM",3,4,"UP000000938",697
"233","sp|F5HC16|UL34_HCMVM",3,21,"UP000000938",407
"234","sp|F5HC79|TRM1_HCMVM",3,1,"UP000000938",850
"235","sp|F5HC97|VPAP_HCMVM",2,3,"UP000000938",433
"236","sp|F5HC97|VPAP_HCMVM",3,41,"UP000000938",433
"237","sp|F5HCM1|VIE1_HCMVM",3,1,"UP000000938",491
"238","sp|F5HDQ6|DNBI_HCMVM",1,2,"UP000000938",1235
"239","sp|F5HDQ6|DNBI_HCMVM",2,22,"UP000000938",1235
"240","sp|F5HDQ6|DNBI_HCMVM",3,56,"UP000000938",1235
"241","sp|F5HE05|US02_HCMVM",3,1,"UP000000938",199
"242","sp|F5HE12|UL35_HCMVM",3,8,"UP000000938",641
"243","sp|F5HEA3|TEG7_HCMVM",3,2,"UP000000938",361
"244","sp|F5HEF3|US34_HCMVM",3,1,"UP000000938",163
"245","sp|F5HEN8|HELI_HCMVM",3,10,"UP000000938",956
"246","sp|F5HF49|AN_HCMVM",3,27,"UP000000938",584
"247","sp|F5HFA5|UL117_HCMVM",1,1,"UP000000938",425
"248","sp|F5HFA5|UL117_HCMVM",2,8,"UP000000938",425
"249","sp|F5HFA5|UL117_HCMVM",3,11,"UP000000938",425
"250","sp|F5HGC2|UL30_HCMVM",3,2,"UP000000938",121
"251","sp|F5HGG3|UL26_HCMVM",3,1,"UP000000938",222
"252","sp|F5HGU6|UL132_HCMVM",3,1,"UP000000938",270
"253","sp|F5HI87|CEP3_HCMVM",2,1,"UP000000938",190
"254","sp|F5HI87|CEP3_HCMVM",3,3,"UP000000938",190
"255","sp|F5HIG1|HEPA_HCMVM",3,2,"UP000000938",873
"256","sp|Q6SVX2|TRS1_HCMVM",1,1,"UP000000938",788
"257","sp|Q6SVX2|TRS1_HCMVM",2,1,"UP000000938",788
"258","sp|Q6SVX2|TRS1_HCMVM",3,14,"UP000000938",788
"259","sp|Q6SW04|IRS1_HCMVM",1,1,"UP000000938",847
"260","sp|Q6SW04|IRS1_HCMVM",2,1,"UP000000938",847
"261","sp|Q6SW04|IRS1_HCMVM",3,13,"UP000000938",847
"262","sp|Q6SW10|UL133_HCMVM",2,4,"UP000000938",257
"263","sp|Q6SW10|UL133_HCMVM",3,31,"UP000000938",257
"264","sp|Q6SW37|EP84_HCMVM",1,30,"UP000000938",684
"265","sp|Q6SW37|EP84_HCMVM",2,3,"UP000000938",684
"266","sp|Q6SW37|EP84_HCMVM",3,21,"UP000000938",684
"267","sp|Q6SW46|UL97_HCMVM",1,1,"UP000000938",707
"268","sp|Q6SW46|UL97_HCMVM",2,3,"UP000000938",707
"269","sp|Q6SW46|UL97_HCMVM",3,131,"UP000000938",707
"270","sp|Q6SW48|UL95_HCMVM",0,20,"UP000000938",533
"271","sp|Q6SW48|UL95_HCMVM",1,65,"UP000000938",533
"272","sp|Q6SW48|UL95_HCMVM",2,5,"UP000000938",533
"273","sp|Q6SW48|UL95_HCMVM",3,3,"UP000000938",533
"274","sp|Q6SW62|SCAF_HCMVM",3,3,"UP000000938",708
"275","sp|Q6SW65|CVC2_HCMVM",3,13,"UP000000938",636
"276","sp|Q6SW77|DPOL_HCMVM",2,1,"UP000000938",1242
"277","sp|Q6SW77|DPOL_HCMVM",3,1,"UP000000938",1242
"278","sp|Q6SW79|UL52_HCMVM",2,2,"UP000000938",668
"279","sp|Q6SW79|UL52_HCMVM",3,22,"UP000000938",668
"280","sp|Q6SW81|NEC2_HCMVM",2,2,"UP000000938",398
"281","sp|Q6SW81|NEC2_HCMVM",3,10,"UP000000938",398
"282","sp|Q6SW82|UL49_HCMVM",2,1,"UP000000938",570
"283","sp|Q6SW82|UL49_HCMVM",3,28,"UP000000938",570
"284","sp|Q6SW84|LTP_HCMVM",3,6,"UP000000938",2241
"285","sp|Q6SW85|ITP_HCMVM",3,9,"UP000000938",983
"286","sp|Q6SWB7|UL14_HCMVM",3,1,"UP000000938",327
"287","sp|Q6SWD0|RL12_HCMVM",3,1,"UP000000938",414
"288","sp|Q6SWD1|RL11_HCMVM",3,1,"UP000000938",234
"289","tr|A0A0K1NYE4|A0A0K1NYE4_HED68",3,4,"UP000143570",2188
"290","sp|P32537|POLG_HE701",3,4,"UP000008683",2194
"291","sp|P04291|TEG3_HHV11",3,1,"UP000009294",219
"292","sp|P04293|DPOL_HHV11",2,4,"UP000009294",1235
"293","sp|P04293|DPOL_HHV11",3,10,"UP000009294",1235
"294","sp|P04294|AN_HHV11",3,2,"UP000009294",626
"295","sp|P04296|DNBI_HHV11",3,13,"UP000009294",1196
"296","sp|P04413|US03_HHV11",3,1,"UP000009294",481
"297","sp|P06480|GJ_HHV11",3,2,"UP000009294",92
"298","sp|P06484|GG_HHV11",2,10,"UP000009294",238
"299","sp|P06484|GG_HHV11",3,2,"UP000009294",238
"300","sp|P06491|MCP_HHV11",3,1,"UP000009294",1374
"301","sp|P08392|ICP4_HHV11",2,6,"UP000009294",1298
"302","sp|P08392|ICP4_HHV11",3,62,"UP000009294",1298
"303","sp|P08393|ICP0_HHV11",2,1,"UP000009294",775
"304","sp|P08393|ICP0_HHV11",3,3,"UP000009294",775
"305","sp|P10186|UNG_HHV11",3,2,"UP000009294",334
"306","sp|P10201|CVC1_HHV11",3,10,"UP000009294",703
"307","sp|P10205|TEG4_HHV11",3,3,"UP000009294",535
"308","sp|P10209|CVC2_HHV11",2,1,"UP000009294",580
"309","sp|P10209|CVC2_HHV11",3,41,"UP000009294",580
"310","sp|P10210|SCAF_HHV11",2,2,"UP000009294",635
"311","sp|P10210|SCAF_HHV11",3,12,"UP000009294",635
"312","sp|P10211|GB_HHV11",3,3,"UP000009294",904
"313","sp|P10212|TRM1_HHV11",2,2,"UP000009294",785
"314","sp|P10212|TRM1_HHV11",3,11,"UP000009294",785
"315","sp|P10218|NEC2_HHV11",3,1,"UP000009294",275
"316","sp|P10220|LTP_HHV11",0,114,"UP000009294",3164
"317","sp|P10220|LTP_HHV11",1,4,"UP000009294",3164
"318","sp|P10220|LTP_HHV11",2,4,"UP000009294",3164
"319","sp|P10220|LTP_HHV11",3,20,"UP000009294",3164
"320","sp|P10226|PAP_HHV11",3,2,"UP000009294",488
"321","sp|P10227|MB43_HHV11",2,2,"UP000009294",417
"322","sp|P10227|MB43_HHV11",3,40,"UP000009294",417
"323","sp|P10228|GC_HHV11",3,1,"UP000009294",511
"324","sp|P10236|PRIM_HHV11",3,5,"UP000009294",1058
"325","sp|P10238|ICP27_HHV11",2,3,"UP000009294",512
"326","sp|P10238|ICP27_HHV11",3,2,"UP000009294",512
"327","sp|P32888|TRX1_HHV11",3,4,"UP000009294",465
"328","sp|Q69091|GD_HHV11",3,2,"UP000009294",394
"329","sp|P13290|GG_HHV2H",2,1,"UP000001874",699
"330","sp|P13292|US02_HHV2H",3,1,"UP000001874",291
"331","sp|P28276|ICP27_HHV2H",2,3,"UP000001874",512
"332","sp|P28276|ICP27_HHV2H",3,1,"UP000001874",512
"333","sp|P28279|NP03_HHV2H",3,3,"UP000001874",233
"334","sp|P28283|ICP34_HHV2H",2,1,"UP000001874",261
"335","sp|P28283|ICP34_HHV2H",3,4,"UP000001874",261
"336","sp|P28284|ICP0_HHV2H",3,18,"UP000001874",825
"337","sp|P89429|PORTL_HHV2H",2,2,"UP000001874",678
"338","sp|P89429|PORTL_HHV2H",3,4,"UP000001874",678
"339","sp|P89431|HEPA_HHV2H",3,2,"UP000001874",752
"340","sp|P89432|OBP_HHV2H",3,3,"UP000001874",867
"341","sp|P89437|TEG3_HHV2H",3,10,"UP000001874",219
"342","sp|P89439|CEP2_HHV2H",3,8,"UP000001874",372
"343","sp|P89440|CVC1_HHV2H",2,1,"UP000001874",702
"344","sp|P89440|CVC1_HHV2H",3,6,"UP000001874",702
"345","sp|P89442|MCP_HHV2H",3,3,"UP000001874",1374
"346","sp|P89443|UL20_HHV2H",2,1,"UP000001874",222
"347","sp|P89443|UL20_HHV2H",3,1,"UP000001874",222
"348","sp|P89444|TEG4_HHV2H",3,10,"UP000001874",532
"349","sp|P89445|GH_HHV2H",3,3,"UP000001874",838
"350","sp|P89448|CVC2_HHV2H",3,45,"UP000001874",585
"351","sp|P89449|SCAF_HHV2H",3,2,"UP000001874",637
"352","sp|P89451|TRM1_HHV2H",3,10,"UP000001874",785
"353","sp|P89452|DNBI_HHV2H",3,13,"UP000001874",1196
"354","sp|P89453|DPOL_HHV2H",2,4,"UP000001874",1240
"355","sp|P89453|DPOL_HHV2H",3,41,"UP000001874",1240
"356","sp|P89454|NEC1_HHV2H",3,1,"UP000001874",305
"357","sp|P89455|UL32_HHV2H",2,1,"UP000001874",598
"358","sp|P89455|UL32_HHV2H",3,5,"UP000001874",598
"359","sp|P89457|NEC2_HHV2H",3,1,"UP000001874",276
"360","sp|P89459|LTP_HHV2H",3,16,"UP000001874",3122
"361","sp|P89460|ITP_HHV2H",3,7,"UP000001874",1114
"362","sp|P89461|TRX1_HHV2H",3,1,"UP000001874",466
"363","sp|P89463|PAP_HHV2H",3,1,"UP000001874",470
"364","sp|P89464|MB43_HHV2H",3,2,"UP000001874",414
"365","sp|P89465|EV45_HHV2H",3,3,"UP000001874",172
"366","sp|P89466|TEG1_HHV2H",3,5,"UP000001874",722
"367","sp|P89468|VP22_HHV2H",3,15,"UP000001874",300
"368","sp|P89471|PRIM_HHV2H",3,2,"UP000001874",1066
"369","sp|P89474|ICP22_HHV2H",3,1,"UP000001874",413
"370","sp|P89476|US8A_HHV2H",3,5,"UP000001874",146
"371","sp|P89478|US10_HHV2H",3,2,"UP000001874",302
"372","sp|P89479|RNB_HHV2H",3,2,"UP000001874",151
"373","sp|P90493|ICP4_HHV2H",1,5,"UP000001874",1318
"374","sp|P90493|ICP4_HHV2H",2,3,"UP000001874",1318
"375","sp|P90493|ICP4_HHV2H",3,56,"UP000001874",1318
"376","tr|P89435|P89435_HHV2H",2,1,"UP000001874",620
"377","tr|P89435|P89435_HHV2H",3,3,"UP000001874",620
